,Name,Team,GP,G,A,PTS,PTS/GM,PIMS,PLUS/MINUS
1,Alex Barré-Boulet (C),Blainville-Boisbriand Armada,65,53,63,116,1.78,67,28
2,Vitali Abramov (RW/LW),totals,56,45,59,104,1.86,67,52
,,Gatineau Olympiques,16,12,14,26,1.63,21,5
,,Victoriaville Tigres,40,33,45,78,1.95,46,47
3,Alexandre Alain (C/RW),Blainville-Boisbriand Armada,65,44,43,87,1.34,52,26
4,Kevin Klima (LW/C),Chicoutimi Saguenéens,68,39,47,86,1.26,54,11
5,Maxime Comtois (LW),Victoriaville Tigres,54,44,41,85,1.57,79,43
6,Otto Somppi (C),Halifax Mooseheads,59,28,55,83,1.41,28,39
7,Filip Zadina (LW/RW),Halifax Mooseheads,57,44,38,82,1.44,36,23
8,Ivan Kosorenkov (RW),Victoriaville Tigres,63,36,46,82,1.3,46,33
9,Alexis Lafrenière (LW),Rimouski Océanic,60,42,38,80,1.33,54,35
10,Joe Veleno (C),totals,64,22,57,79,1.23,48,4
,,Saint John Sea Dogs,31,6,25,31,1,26,-10
,,Drummondville Voltigeurs,33,16,32,48,1.45,22,14
,,,,,,,,,
11,Jordan Martel (RW),Baie-Comeau Drakkar,66,39,38,77,1.17,47,3
12,Jeremy McKenna (RW),Moncton Wildcats,68,36,41,77,1.13,43,-3
13,Drake Batherson (C/RW),totals,51,29,48,77,1.51,65,12
,,Cape Breton Screaming Eagles,24,17,22,39,1.63,39,-8
,,Blainville-Boisbriand Armada,27,12,26,38,1.41,26,20
14,Antoine Morand (C),Acadie-Bathurst Titan,66,26,50,76,1.15,57,16
15,Rafaël Harvey-Pinard (LW),Rouyn-Noranda Huskies,67,26,50,76,1.13,38,34
16,Maxime Fortier (RW),Halifax Mooseheads,61,32,43,75,1.23,48,23
17,Peter Abbandonato (C),Rouyn-Noranda Huskies,68,27,48,75,1.1,21,18
18,James Phelan (C),totals,64,33,41,74,1.16,82,-11
,,Victoriaville Tigres,37,15,24,39,1.05,40,-4
,,Moncton Wildcats,27,18,17,35,1.3,42,-7
19,Mathieu Nadeau (RW),totals,59,25,49,74,1.25,32,8
,,Val-d'Or Foreurs,27,10,21,31,1.15,14,-9
,,Rimouski Océanic,32,15,28,43,1.34,18,17
20,Olivier Galipeau (D),totals,67,25,49,74,1.1,70,39
,,Chicoutimi Saguenéens,37,15,25,40,1.08,40,18
,,Acadie-Bathurst Titan,30,10,24,34,1.13,30,21
,,,,,,,,,
21,Samuel Dove-McFalls (C),Rimouski Océanic,64,22,51,73,1.14,62,37
22,Mitchell Balmas (LW),totals,68,42,30,72,1.06,32,21
,,Gatineau Olympiques,35,24,13,37,1.06,20,13
,,Acadie-Bathurst Titan,33,18,17,35,1.06,12,8
23,Matthew Boucher (LW),Québec Remparts,66,31,38,69,1.05,87,-3
24,Noah Dobson (D),Acadie-Bathurst Titan,67,17,52,69,1.03,52,33
25,Thomas Grégoire (D),Sherbrooke Phoenix,67,12,57,69,1.03,39,3
26,Nicolas Beaudin (D),Drummondville Voltigeurs,68,12,57,69,1.01,47,27
27,D'Artagnan Joly (RW),Baie-Comeau Drakkar,55,23,45,68,1.24,45,1
28,Bobby Lynch (RW),Drummondville Voltigeurs,67,28,39,67,1,26,18
29,Phélix Martineau (C),Cape Breton Screaming Eagles,68,34,32,66,0.97,74,-1
30,Nick Welsh (D),Moncton Wildcats,68,12,54,66,0.97,71,-10
,,,,,,,,,
31,Nicolas Poulin (LW),Sherbrooke Phoenix,64,35,30,65,1.02,95,5
32,Joël Teasdale (LW),Blainville-Boisbriand Armada,65,32,33,65,1,14,18
33,Mathieu Boucher (LW),Rouyn-Noranda Huskies,66,33,30,63,0.95,43,6
34,Raphaël Lavoie (C/RW),Halifax Mooseheads,68,30,33,63,0.93,43,10
35,Jeffrey Viel (LW),Acadie-Bathurst Titan,58,39,23,62,1.07,127,29
36,Félix Bibeau (C),Rouyn-Noranda Huskies,61,22,40,62,1.02,73,24
37,Morgan Adams-Moisan (RW),Drummondville Voltigeurs,68,32,29,61,0.9,67,21
38,Jakob Pelletier (LW),Moncton Wildcats,60,23,38,61,1.02,20,5
39,Derek Gentile (RW),totals,67,23,38,61,0.91,24,-4
,,Québec Remparts,37,14,19,33,0.89,6,-5
,,Charlottetown Islanders,30,9,19,28,0.93,18,1
40,Jordan Maher (RW),Acadie-Bathurst Titan,63,19,42,61,0.97,16,36
,,,,,,,,,
41,Ivan Chekhovich (LW),Baie-Comeau Drakkar,65,29,31,60,0.92,28,-11
42,Shawn Boudrias (RW),Gatineau Olympiques,60,28,32,60,1,51,0
43,Philipp Kurashev (C),Québec Remparts,59,19,41,60,1.02,24,-4
44,Gabriel Fortier (LW/C),Baie-Comeau Drakkar,66,26,33,59,0.89,59,-11
45,Simon Lafrance (C),totals,68,20,39,59,0.87,23,0
,,Val-d'Or Foreurs,37,10,20,30,0.81,10,-10
,,Victoriaville Tigres,31,10,19,29,0.94,13,10
46,Ostap Safin (RW/LW),Saint John Sea Dogs,61,26,32,58,0.95,31,-29
47,Jimmy Huntington (C),Victoriaville Tigres,68,18,40,58,0.85,42,5
