,Name,Team,GP,G,A,PTS,PTS/GM,PIMS,PLUS/MINUS
48,Bradley Lalonde (D),Baie-Comeau Drakkar,60,13,44,57,0.95,59,-12
49,Charle-Edouard D'Astous (D),Rimouski Océanic,59,18,38,56,0.95,96,33
50,Nicolas Guay (RW),Drummondville Voltigeurs,68,29,26,55,0.81,53,-6
,,,,,,,,,
51,Benoit-Olivier Groulx (C),Halifax Mooseheads,68,28,27,55,0.81,100,9
52,Julien Tessier (C),totals,67,21,33,54,0.81,34,-34
,,Moncton Wildcats,39,11,24,35,0.9,22,-14
,,Val-d'Or Foreurs,28,10,9,19,0.68,12,-20
53,Daniel Hardie (LW),totals,68,25,28,53,0.78,34,-12
,,Saint John Sea Dogs,37,12,18,30,0.81,20,-11
,,Charlottetown Islanders,31,13,10,23,0.74,14,-1
54,Connor Bramwell (LW),totals,55,23,30,53,0.96,17,7
,,Blainville-Boisbriand Armada,10,3,3,6,0.6,4,0
,,Drummondville Voltigeurs,45,20,27,47,1.04,13,7
55,Yaroslav Alexeyev (LW),Sherbrooke Phoenix,63,20,33,53,0.84,24,7
56,Arnaud Durandeau (LW),Halifax Mooseheads,67,20,33,53,0.79,56,1
57,Pascal Corbeil (D),Blainville-Boisbriand Armada,46,9,42,51,1.11,14,14
58,Olivier Garneau (LW),Québec Remparts,67,23,27,50,0.75,36,6
59,Jan Drozg (LW),Shawinigan Cataractes,61,16,34,50,0.82,44,-21
60,Adam Holwell (D),Acadie-Bathurst Titan,67,10,40,50,0.75,26,43
,,,,,,,,,
61,Mathieu Olivier (RW),Sherbrooke Phoenix,67,27,22,49,0.73,90,5
62,Vladislav Kotkov (LW/RW),Chicoutimi Saguenéens,61,21,28,49,0.8,20,-5
63,Keith Getson (C),Charlottetown Islanders,68,20,29,49,0.72,40,5
64,Patrik Hrehorcak (LW),Rouyn-Noranda Huskies,63,25,23,48,0.76,48,11
65,Marek Zachar (LW/C),Sherbrooke Phoenix,57,24,24,48,0.84,14,-14
66,Dmitri Zavgorodny (LW),Rimouski Océanic,62,26,21,47,0.76,8,17
67,Hugo Roy (C),Sherbrooke Phoenix,64,21,26,47,0.73,18,-12
68,Yvan Mongo (LW),Drummondville Voltigeurs,58,18,29,47,0.81,22,28
69,Pascal Laberge (C),totals,64,17,30,47,0.73,67,1
,,Victoriaville Tigres,31,6,14,20,0.65,34,4
,,Québec Remparts,33,11,16,27,0.82,33,-3
70,Luke Henman (C),Blainville-Boisbriand Armada,61,9,38,47,0.77,16,11
,,,,,,,,,
71,Jared McIsaac (D),Halifax Mooseheads,65,9,38,47,0.72,86,14
72,Dominic Cormier (D),totals,66,9,38,47,0.71,20,37
,,Rimouski Océanic,33,4,16,20,0.61,14,10
,,Victoriaville Tigres,33,5,22,27,0.82,6,27
73,Vincent Lanoue (D),Victoriaville Tigres,66,7,40,47,0.71,50,20
74,Cédric Desruisseaux (C/LW),Drummondville Voltigeurs,64,24,22,46,0.72,25,20
75,Jesse Sutton (C),Québec Remparts,68,22,24,46,0.68,18,-1
76,William Cyr (D),Rouyn-Noranda Huskies,65,14,32,46,0.71,28,13
77,Félix Robert (C),Sherbrooke Phoenix,66,14,32,46,0.7,35,8
78,David Noël (D),Val-d'Or Foreurs,68,14,32,46,0.68,24,-53
79,Pierre-Olivier Joseph (D),Charlottetown Islanders,63,13,33,46,0.73,59,-5
80,Anderson MacDonald (LW),Moncton Wildcats,58,27,18,45,0.78,54,-31
,,,,,,,,,
81,Gregor MacLeod (C),totals,54,19,26,45,0.83,33,10
,,Charlottetown Islanders,24,8,9,17,0.71,21,4
,,Québec Remparts,30,11,17,28,0.93,12,6
82,Xavier Simoneau (C),Drummondville Voltigeurs,61,17,28,45,0.74,53,19
83,Samuel Poulin (RW/LW),Sherbrooke Phoenix,55,16,29,45,0.82,42,13
84,Dawson Theede (C),totals,49,22,22,44,0.9,103,-1
,,Acadie-Bathurst Titan,32,13,15,28,0.88,64,11
,,Gatineau Olympiques,17,9,7,16,0.94,39,-12
85,Ethan Crossman (LW),Acadie-Bathurst Titan,66,21,23,44,0.67,49,20
86,Chase Harwell (RW),Victoriaville Tigres,67,21,23,44,0.66,98,-3
87,Samuel L'Italien (C),Acadie-Bathurst Titan,68,19,25,44,0.65,30,26
88,Vasili Glotov (C),Shawinigan Cataractes,64,29,14,43,0.67,24,-23
89,Pascal Aquin (LW),Charlottetown Islanders,59,24,19,43,0.73,67,10
90,German Rubtsov (C),totals,49,15,28,43,0.88,11,7
,,Chicoutimi Saguenéens,11,3,8,11,1,0,1
,,Acadie-Bathurst Titan,38,12,20,32,0.84,11,6
,,,,,,,,,
91,Yegor Sokolov (RW/LW),Cape Breton Screaming Eagles,64,21,21,42,0.66,39,-28
92,Connor Moynihan (LW/D),Halifax Mooseheads,66,21,21,42,0.64,113,16
93,Pavel Koltygin (C),Drummondville Voltigeurs,64,17,25,42,0.66,44,27
94,Samuel Asselin (C),totals,48,13,29,42,0.88,37,-8
,,Shawinigan Cataractes,38,9,22,31,0.82,24,-18
,,Acadie-Bathurst Titan,10,4,7,11,1.1,13,10
95,Mathias Laferrière (RW),Cape Breton Screaming Eagles,67,12,29,41,0.61,14,-22
96,Radim Salda (D),Saint John Sea Dogs,62,10,31,41,0.66,78,-37
97,Mika Cyr (C/LW),Moncton Wildcats,44,21,19,40,0.91,2,5
98,Alexander Katerinakis (RW),Blainville-Boisbriand Armada,51,13,27,40,0.78,24,23
99,Alex Breton (D),Gatineau Olympiques,59,10,30,40,0.68,50,23
100,Jocktan Chainey (D),Halifax Mooseheads,66,7,33,40,0.61,56,21
101,Giordano Finoro (C),Gatineau Olympiques,57,16,23,39,0.68,22,15
102,Denis Mikhnin (RW),Rimouski Océanic,64,15,24,39,0.61,54,14
103,Hunter Drew (D),Charlottetown Islanders,64,8,31,39,0.61,159,12
104,Liam Murphy (LW),Acadie-Bathurst Titan,65,20,18,38,0.58,52,9
105,Nicolas Ouellet (RW),Val-d'Or Foreurs,54,19,19,38,0.7,21,-9
106,Cameron Askew (C/RW),totals,63,19,19,38,0.6,53,-19
,,Shawinigan Cataractes,32,13,11,24,0.75,17,-13
,,Charlottetown Islanders,31,6,8,14,0.45,36,-6
107,Declan Smith (C),Cape Breton Screaming Eagles,65,17,21,38,0.58,88,-7
108,Anthony Boucher (C),Saint John Sea Dogs,68,16,22,38,0.56,40,-27
109,Tyler Hinam (RW),Rouyn-Noranda Huskies,58,12,26,38,0.66,29,-8
110,Benjamin Gagné (D),Québec Remparts,66,10,28,38,0.58,79,10
,,,,,,,,,
111,Christian Huntley (D),Québec Remparts,61,9,29,38,0.62,20,-6
112,Luke Kirwan (LW),totals,47,21,16,37,0.79,30,-13
,,Québec Remparts,28,12,9,21,0.75,18,-14
,,Baie-Comeau Drakkar,19,9,7,16,0.84,12,1
113,Alex Beaucage (RW/LW),Rouyn-Noranda Huskies,56,13,24,37,0.66,37,16
114,Cédric Paré (C),Saint John Sea Dogs,60,13,24,37,0.62,61,-14
115,Alexandre Landreville (C),Gatineau Olympiques,68,12,25,37,0.54,44,-3
116,Adam McCormick (D),Cape Breton Screaming Eagles,67,7,30,37,0.55,16,-8
117,Nathan Hudgin (LW),totals,57,18,18,36,0.63,75,-8
,,Drummondville Voltigeurs,24,4,6,10,0.42,27,6
,,Val-d'Or Foreurs,33,14,12,26,0.79,48,-14
118,Brooklyn Kalmikov (LW),Cape Breton Screaming Eagles,58,18,18,36,0.62,22,-7
119,Kelly Klima (RW),Chicoutimi Saguenéens,58,18,18,36,0.62,72,-15
120,Ivan Kozlov (LW),Val-d'Or Foreurs,66,17,19,36,0.55,40,-21
,,,,,,,,,
121,Adam Cheezo (RW),Val-d'Or Foreurs,52,13,23,36,0.69,10,-32
122,Jeffrey Durocher (C),Gatineau Olympiques,63,13,23,36,0.57,111,-4
123,Carson MacKinnon (LW),Rimouski Océanic,65,13,22,35,0.54,30,14
124,Xavier Bernard (D),Drummondville Voltigeurs,66,11,24,35,0.53,64,35
125,Gabriel Bilodeau (D),Gatineau Olympiques,66,8,27,35,0.53,130,1
126,Saku Vesterinen (D),Charlottetown Islanders,59,7,28,35,0.59,24,-7
127,Jérémie Beaudin (D),Victoriaville Tigres,66,6,29,35,0.53,16,7
128,Matthew Grouchy (LW),totals,63,17,17,34,0.54,26,2
,,Charlottetown Islanders,33,11,13,24,0.73,14,8
,,Québec Remparts,30,6,4,10,0.33,12,-6
129,Jérémy Manseau (C),Shawinigan Cataractes,65,13,21,34,0.52,39,-14
130,Ryan Francis (RW),Cape Breton Screaming Eagles,58,11,23,34,0.59,23,-22
,,,,,,,,,
131,Pier-Olivier Lacombe (D),Gatineau Olympiques,65,11,23,34,0.52,40,-10
132,Jordan Ty Fournier (RW),Cape Breton Screaming Eagles,67,17,16,33,0.49,120,6
133,Maxim Mizyurin (C),Val-d'Or Foreurs,36,16,17,33,0.92,27,-9
134,Thomas Éthier (LW),Blainville-Boisbriand Armada,65,15,18,33,0.51,60,19
135,Antoine Demers (C),Shawinigan Cataractes,67,14,19,33,0.49,20,-19
136,Maxim Trépanier (LW),totals,52,13,20,33,0.63,33,-3
,,Rimouski Océanic,34,9,15,24,0.71,16,2
,,Gatineau Olympiques,18,4,5,9,0.5,17,-5
137,Rémy Anglehart (C),Blainville-Boisbriand Armada,58,18,14,32,0.55,37,19
138,Samuel Houde (C),Chicoutimi Saguenéens,54,16,16,32,0.59,45,-9
139,Alex-Olivier Voyer (RW),Rimouski Océanic,55,12,20,32,0.58,76,7
140,Gabriel Denis (C),Shawinigan Cataractes,66,11,21,32,0.48,24,-23
,,,,,,,,,
141,Daniil Miromanov (D/RW),Moncton Wildcats,38,8,24,32,0.84,12,-14
142,Sam Dunn (D),Québec Remparts,66,7,25,32,0.48,40,0
143,Leon Gawanke (D),Cape Breton Screaming Eagles,62,4,28,32,0.52,39,-20
144,Dylan Seitz (C/LW),Moncton Wildcats,57,17,14,31,0.54,111,-5
145,Nikita Alexandrov (C),Charlottetown Islanders,66,13,18,31,0.47,22,2
146,Félix Lauzon (C),Victoriaville Tigres,38,11,20,31,0.82,10,7
147,Ross MacDougall (D),Cape Breton Screaming Eagles,42,7,24,31,0.74,31,-8
148,Tommy Beaudoin (RW),Rouyn-Noranda Huskies,66,18,12,30,0.45,35,18
149,Mathieu Sévigny (LW/C),Victoriaville Tigres,41,13,17,30,0.73,70,5
150,Justin Bergeron (D),Rouyn-Noranda Huskies,67,9,21,30,0.45,23,-4
,,,,,,,,,
151,Keenan MacIsaac (D),Acadie-Bathurst Titan,68,3,27,30,0.44,43,8
152,Jérémy Diotte (D),Chicoutimi Saguenéens,66,2,28,30,0.45,75,5
153,Sullivan Sparkes (C/LW),Charlottetown Islanders,60,14,15,29,0.48,60,12
154,Benjamin Tardif (LW),Sherbrooke Phoenix,68,14,15,29,0.43,36,-3
155,Xavier Parent (LW),Halifax Mooseheads,63,13,16,29,0.46,30,-4
156,Zachary Lavigne (LW),Chicoutimi Saguenéens,44,12,17,29,0.66,18,7
157,Vincent Senez-Allaire (RW),Shawinigan Cataractes,48,10,19,29,0.6,62,-12
158,Nathan Légaré (RW),Baie-Comeau Drakkar,62,10,19,29,0.47,43,-4
159,Félix Boivin (D),Victoriaville Tigres,68,10,19,29,0.43,28,9
160,Chase Stewart (D),Rimouski Océanic,53,5,24,29,0.55,132,23
,,,,,,,,,
161,Tyler Hylland (LW),Cape Breton Screaming Eagles,57,12,16,28,0.49,29,-1
162,Félix-Antoine Marcotty (RW),Chicoutimi Saguenéens,59,11,17,28,0.47,12,11
163,Anthony Beauchamp (RW),Gatineau Olympiques,65,11,17,28,0.43,57,-3
164,Alexander Khovanov (C),Moncton Wildcats,29,9,19,28,0.97,36,-1
165,Simon Benoît (D),Shawinigan Cataractes,63,5,23,28,0.44,67,-37
166,Morgan Nauss (D),Chicoutimi Saguenéens,60,4,24,28,0.47,56,-19
167,Cole Reginato (F),Saint John Sea Dogs,40,16,11,27,0.68,73,-14
168,Jake Ryczek (D),Halifax Mooseheads,33,7,20,27,0.82,13,15
169,Shaun Miller (RW),totals,47,6,21,27,0.57,23,1
,,Blainville-Boisbriand Armada,18,2,9,11,0.61,13,-1
,,Cape Breton Screaming Eagles,29,4,12,16,0.55,10,2
170,Tobie Paquette-Bisson (D),Blainville-Boisbriand Armada,59,4,23,27,0.46,22,45
,,,,,,,,,
171,Robbie Burt (LW),Saint John Sea Dogs,55,14,12,26,0.47,65,-38
172,Édouard St-Laurent (RW),Baie-Comeau Drakkar,61,14,12,26,0.43,20,-15
173,Brandon Skubel (RW),Drummondville Voltigeurs,60,11,15,26,0.43,16,14
174,Dawson Mercer (RW),Drummondville Voltigeurs,61,11,15,26,0.43,25,8
175,Sam Meisenheimer (RW),totals,56,10,16,26,0.46,40,-1
,,Charlottetown Islanders,36,8,14,22,0.61,34,1
,,Chicoutimi Saguenéens,20,2,2,4,0.2,6,-2
176,Yan Dion (RW),Val-d'Or Foreurs,64,10,16,26,0.41,48,-29
177,Sam King (RW/LW),Charlottetown Islanders,68,10,16,26,0.38,36,-10
178,Jonathan Aspirot (D/LW),Moncton Wildcats,67,7,19,26,0.39,71,6
179,Gabriel Proulx (RW),Cape Breton Screaming Eagles,57,5,21,26,0.46,38,0
180,Simon Chevrier (RW),Baie-Comeau Drakkar,58,5,21,26,0.45,91,-2
,,,,,,,,,
181,Will Thompson (D),totals,60,2,24,26,0.43,60,21
,,Gatineau Olympiques,37,2,15,17,0.46,45,11
,,Rouyn-Noranda Huskies,23,0,9,9,0.39,15,10
182,Kevin Gilbert (RW),Sherbrooke Phoenix,57,11,14,25,0.44,22,-6
183,Samuel Blier (LW),Shawinigan Cataractes,57,11,14,25,0.44,61,-30
184,Louis-Filip Côté (LW),Québec Remparts,68,11,14,25,0.37,8,11
185,Andrew Coxhead (C),Québec Remparts,68,11,14,25,0.37,22,14
186,Mikhail Shestopalov (LW),Gatineau Olympiques,59,6,19,25,0.42,10,4
187,Alexis Girard (D),Saint John Sea Dogs,62,6,19,25,0.4,54,-16
188,Peyton Hoyt (RW),Cape Breton Screaming Eagles,52,18,6,24,0.46,43,7
189,Mathieu Bizier (C),Rimouski Océanic,64,10,14,24,0.38,10,11
190,Isiah Campbell (C),totals,61,9,15,24,0.39,31,-7
,,Saint John Sea Dogs,33,1,6,7,0.21,19,-7
,,Cape Breton Screaming Eagles,28,8,9,17,0.61,12,0
,,,,,,,,,
191,Jérôme Gravel (D),Victoriaville Tigres,64,7,17,24,0.38,71,24
192,Justin Ducharme (RW/LW),Acadie-Bathurst Titan,53,11,12,23,0.43,22,5
193,Anthony Gagnon (RW),totals,67,10,13,23,0.34,32,0
,,Gatineau Olympiques,39,4,2,6,0.15,22,-8
,,Rimouski Océanic,28,6,11,17,0.61,10,8
194,Vincent Lapalme (C),Chicoutimi Saguenéens,64,9,14,23,0.36,49,-14
195,Jérémy Michel (RW),Val-d'Or Foreurs,65,6,17,23,0.35,16,-26
196,Adam Capannelli (C/LW),Moncton Wildcats,42,3,20,23,0.55,36,-20
197,Brett Budgell (LW),Charlottetown Islanders,32,10,12,22,0.69,11,2
198,Olivier Bourret (LW),Cape Breton Screaming Eagles,63,8,14,22,0.35,24,-14
199,Aleksi Anttalainen (D),Blainville-Boisbriand Armada,61,4,18,22,0.36,47,8
200,Simon Le Coultre (D),Moncton Wildcats,61,3,19,22,0.36,34,-31
201,Charles-Antoine Roy (C),Gatineau Olympiques,66,10,11,21,0.32,19,6
202,Olivier Mathieu (LW),Québec Remparts,66,8,13,21,0.32,85,-8
203,Wilson Forest (D),Rimouski Océanic,67,4,17,21,0.31,43,16
204,Xavier Bouchard (D),Baie-Comeau Drakkar,65,3,18,21,0.32,52,-30
205,Marc-Olivier Duquette (D),Drummondville Voltigeurs,68,3,18,21,0.31,66,9
206,Justin Barron (D),Halifax Mooseheads,51,2,19,21,0.41,8,18
207,William Poirier (RW),Saint John Sea Dogs,65,9,11,20,0.31,86,-32
208,David Henley (D),Val-d'Or Foreurs,54,6,14,20,0.37,112,-26
209,Shawn Element (C),Baie-Comeau Drakkar,62,9,10,19,0.31,85,-18
210,Anthony Poulin (C),Blainville-Boisbriand Armada,40,8,11,19,0.48,20,14
,,,,,,,,,
211,Gabriel Sylvestre (D),totals,60,8,11,19,0.32,66,-10
,,Shawinigan Cataractes,33,5,8,13,0.39,38,-3
,,Moncton Wildcats,27,3,3,6,0.22,28,-7
212,Ryan DaSilva (D),Blainville-Boisbriand Armada,54,6,13,19,0.35,33,-4
213,Jan Hladonik (C),Blainville-Boisbriand Armada,56,4,15,19,0.34,14,12
214,Alexandre Couture (LW),Val-d'Or Foreurs,67,4,15,19,0.28,26,-27
215,Jarrett Baker (D),Drummondville Voltigeurs,60,3,16,19,0.32,40,25
216,Étienne Verrette (D),Québec Remparts,56,1,18,19,0.34,10,15
217,Kevin Gursoy (RW),Saint John Sea Dogs,60,11,7,18,0.3,43,-24
218,Alex Plamondon (C),Shawinigan Cataractes,58,10,8,18,0.31,21,-6
219,Médérik Racicot (D),Val-d'Or Foreurs,61,7,11,18,0.3,119,-14
220,Evan MacKinnon (C/LW),Sherbrooke Phoenix,62,7,11,18,0.29,29,-10
,,,,,,,,,
221,Vincent Marleau (C),Rouyn-Noranda Huskies,67,6,12,18,0.27,51,-7
222,Vincent Milot-Ouellet (RW),Chicoutimi Saguenéens,68,6,12,18,0.26,21,-23
223,Jacob Neveu (D),Rouyn-Noranda Huskies,67,5,13,18,0.27,37,15
224,Bastian Eckl (RW),Drummondville Voltigeurs,46,3,15,18,0.39,19,10
225,Liam Stevens (LW/C),Chicoutimi Saguenéens,61,10,7,17,0.28,19,-6
226,Joel Bishop (LW/C),Halifax Mooseheads,53,6,11,17,0.32,57,0
227,Hugo Després (C),Rouyn-Noranda Huskies,35,5,12,17,0.49,8,-2
228,Darien Kielb (D),Gatineau Olympiques,64,5,12,17,0.27,40,-2
229,Michal Ivan (D),Acadie-Bathurst Titan,48,3,14,17,0.35,12,16
230,Yan Aucoin (D),Baie-Comeau Drakkar,62,3,14,17,0.27,84,-6
,,,,,,,,,
231,Alexandre Grisé (C),Victoriaville Tigres,59,10,6,16,0.27,30,5
232,Isaiah Gallo-Demetris (C),Baie-Comeau Drakkar,50,8,8,16,0.32,12,-7
233,Jacob Hudson (C),Moncton Wildcats,64,8,8,16,0.25,47,-9
234,Mikael Robidoux (RW),Québec Remparts,41,7,9,16,0.39,80,14
235,Christopher Benoit (C),Baie-Comeau Drakkar,68,7,9,16,0.24,85,-25
236,Leon Denny (D),Shawinigan Cataractes,60,6,10,16,0.27,49,-30
237,Jason Horvath (D),Shawinigan Cataractes,48,3,13,16,0.33,24,-15
238,Olivier Crête-Belzile (D/LW),Sherbrooke Phoenix,67,3,13,16,0.24,10,9
239,Maxime Collin (LW),Blainville-Boisbriand Armada,55,11,4,15,0.27,20,0
240,Mathieu Desgagnés (LW),Chicoutimi Saguenéens,42,8,7,15,0.36,12,0
,,,,,,,,,
241,Brady Pataki (RW),Moncton Wildcats,47,8,7,15,0.32,39,-11
242,Adam Marsh (LW),Charlottetown Islanders,19,6,9,15,0.79,40,0
243,Luke Green (D),Sherbrooke Phoenix,14,5,10,15,1.07,16,7
244,Yann-Félix Lapointe (D),Sherbrooke Phoenix,56,5,10,15,0.27,12,-5
245,Patrick Kyte (D),Halifax Mooseheads,56,5,10,15,0.27,33,8
246,Antoine Girard (C),Baie-Comeau Drakkar,50,4,11,15,0.3,48,-13
247,Métis Roelens (C),Gatineau Olympiques,59,4,11,15,0.25,14,1
248,Jérémy Groleau (D),Chicoutimi Saguenéens,63,4,11,15,0.24,18,-4
249,Christopher Merisier-Ortiz (D),Baie-Comeau Drakkar,62,2,13,15,0.24,20,-3
250,Alexandre Joncas (D),Sherbrooke Phoenix,68,1,14,15,0.22,42,6
,,,,,,,,,
251,Alexis Arsenault (D),Rouyn-Noranda Huskies,65,6,8,14,0.22,59,21
252,Nathan Larose (D),Saint John Sea Dogs,64,5,9,14,0.22,31,-13
253,Chris McQuaid (D),totals,68,5,9,14,0.21,80,3
,,Rouyn-Noranda Huskies,34,3,2,5,0.15,40,14
,,Gatineau Olympiques,34,2,7,9,0.26,40,-11
254,Walter Flower (D),Halifax Mooseheads,43,3,11,14,0.33,40,8
255,Noah Laaouan (D),Cape Breton Screaming Eagles,49,2,12,14,0.29,30,0
256,Samuel Bolduc (D),Blainville-Boisbriand Armada,57,2,12,14,0.25,8,16
257,Yannik Bertrand (LW),Rimouski Océanic,24,8,5,13,0.54,65,3
258,Samuel Hatto (C/LW),Gatineau Olympiques,66,8,5,13,0.2,10,4
259,Cole Rafuse (RW),Acadie-Bathurst Titan,66,8,5,13,0.2,51,-2
260,Alec Malo (C),Gatineau Olympiques,60,7,6,13,0.22,10,-12
,,,,,,,,,
261,Édouard Ouellet (RW),Victoriaville Tigres,54,5,8,13,0.24,8,3
262,Ryan Smith (C),Chicoutimi Saguenéens,54,5,8,13,0.24,91,-9
263,Liam Dunda (LW),Moncton Wildcats,33,4,9,13,0.39,66,-5
264,Jérémy Fortin (LW),Chicoutimi Saguenéens,62,4,9,13,0.21,28,-12
265,Olivier Desjardins (D),totals,66,4,9,13,0.2,44,2
,,Moncton Wildcats,8,0,0,0,0,4,-1
,,Charlottetown Islanders,58,4,9,13,0.22,40,3
266,Thomas Casey (C/LW),Charlottetown Islanders,60,8,4,12,0.2,10,-3
267,Anthony Imbeault (LW),Shawinigan Cataractes,26,7,5,12,0.46,6,-15
268,Justin Paré (C),totals,31,4,8,12,0.39,6,6
,,Rimouski Océanic,8,1,2,3,0.38,0,1
,,Victoriaville Tigres,23,3,6,9,0.39,6,5
269,Ben Higgins (RW),Halifax Mooseheads,65,4,8,12,0.18,18,4
270,Gerald Blackmore (F),Moncton Wildcats,56,3,9,12,0.21,24,-20
,,,,,,,,,
271,Dom Malatesta (C),Acadie-Bathurst Titan,45,2,10,12,0.27,10,3
272,Karl Boudrias (D),totals,60,2,10,12,0.2,66,-38
,,Rimouski Océanic,28,0,4,4,0.14,29,3
,,Val-d'Or Foreurs,32,2,6,8,0.25,37,-41
273,Maxence Guénette (D),Val-d'Or Foreurs,61,1,11,12,0.2,12,-35
274,Michael Kemp (D),Blainville-Boisbriand Armada,46,7,4,11,0.24,42,11
275,Ben Reid (F),Saint John Sea Dogs,35,6,5,11,0.31,31,-12
276,Logan Chisholm (LW),Acadie-Bathurst Titan,51,5,6,11,0.22,16,5
277,Taylor Ford (D),Rouyn-Noranda Huskies,46,3,8,11,0.24,49,18
278,Samuel Naud (RW),Rouyn-Noranda Huskies,60,3,8,11,0.18,72,-3
