,Name,Team,GP,G,A,PTS,PTS/GM,PIMS,PLUS/MINUS
276,Jesse Zaharichuk (RW),Lethbridge Hurricanes,17,8,9,17,1,8,-1
277,Maxwell James (LW),Tri-City Americans,39,8,9,17,0.44,62,-2
278,Riley Stadel (D),totals,45,7,10,17,0.38,54,-7
,,Kelowna Rockets,29,5,2,7,0.24,30,-1
,,Edmonton Oil Kings,16,2,8,10,0.63,24,-6
279,Tristan Langan (C/LW),Moose Jaw Warriors,66,6,11,17,0.26,16,-1
280,Jermaine Loewen (LW/RW),Kamloops Blazers,66,6,11,17,0.26,115,4
,,,,,,,,,
281,Brian King (C),Everett Silvertips,62,4,13,17,0.27,16,2
282,Daniel Bukac (D),Brandon Wheat Kings,72,2,15,17,0.24,38,0
283,Sahvan Khaira (D),Swift Current Broncos,70,1,16,17,0.24,88,7
284,Tanner Nagel (RW),Lethbridge Hurricanes,72,10,6,16,0.22,88,-3
285,Riley Stotts (C),Swift Current Broncos,52,9,7,16,0.31,12,-3
286,Jeff de Wit (C),totals,66,9,7,16,0.24,26,-7
,,Red Deer Rebels,36,4,5,9,0.25,17,-4
,,Regina Pats,30,5,2,7,0.23,9,-3
287,D-Jay Jerome (C/RW),totals,55,8,8,16,0.29,16,-2
,,Red Deer Rebels,23,5,3,8,0.35,12,0
,,Prince Albert Raiders,32,3,5,8,0.25,4,-2
288,Jake Elmer (RW),Kootenay Ice,46,7,9,16,0.35,24,-33
289,Carson Sass (D),Red Deer Rebels,64,5,11,16,0.25,30,4
290,Lucas Skrumeda (D),Everett Silvertips,47,4,12,16,0.34,21,18
,,,,,,,,,
291,Brayden Gorda (D),Edmonton Oil Kings,56,4,12,16,0.29,84,-28
292,Luke Zazula (D),Kamloops Blazers,54,2,14,16,0.3,59,-1
293,Aaron Hyman (D),totals,67,2,14,16,0.24,21,-7
,,Calgary Hitmen,28,1,7,8,0.29,10,-4
,,Seattle Thunderbirds,39,1,7,8,0.21,11,-3
294,Ryan Pouliot (D),Kootenay Ice,66,1,15,16,0.24,123,-36
295,Braydon Buziak (C/LW),Regina Pats,55,11,4,15,0.27,75,16
296,Markson Bechtold (LW/C),totals,33,8,7,15,0.45,60,0
,,Spokane Chiefs,13,5,3,8,0.62,13,3
,,Saskatoon Blades,20,3,4,7,0.35,47,-3
297,Max Patterson (RW),Kootenay Ice,63,8,7,15,0.24,23,-36
298,Cam Hausinger (RW),totals,61,7,8,15,0.25,72,-12
,,Saskatoon Blades,20,0,3,3,0.15,22,-7
,,Red Deer Rebels,41,7,5,12,0.29,50,-5
299,Erik Gardiner (C/LW),totals,42,4,11,15,0.36,8,-3
,,Regina Pats,2,0,0,0,0,0,0
,,Kelowna Rockets,40,4,11,15,0.38,8,-3
300,Tyler Adams (C),totals,66,4,11,15,0.23,77,-1
,,Swift Current Broncos,25,1,6,7,0.28,21,2
,,Seattle Thunderbirds,41,3,5,8,0.2,56,-3
301,Brayden Pachal (D),totals,65,3,12,15,0.23,83,-10
,,Victoria Royals,35,0,3,3,0.09,46,-9
,,Prince Albert Raiders,30,3,9,12,0.4,37,-1
302,Jadon Joseph (C/RW),Lethbridge Hurricanes,68,3,12,15,0.22,54,-4
303,Dallas Valentine (D),Kamloops Blazers,52,2,13,15,0.29,4,17
304,Dalton Yorke (D),Tri-City Americans,72,0,15,15,0.21,149,9
305,Jake Gricius (C),Portland Winterhawks,71,10,4,14,0.2,14,-10
306,Leif Mattson (RW),Kelowna Rockets,46,9,5,14,0.3,23,6
307,Gage Ramsay (LW/C),totals,66,9,5,14,0.21,11,-16
,,Vancouver Giants,6,0,1,1,0.17,0,-1
,,Saskatoon Blades,60,9,4,13,0.22,11,-15
308,Bryce Kindopp (RW),Everett Silvertips,60,7,7,14,0.23,8,-4
309,Nick Bowman (C),Edmonton Oil Kings,61,7,7,14,0.23,15,-15
310,Jordan Borstmayer (RW),totals,64,7,7,14,0.22,20,-13
,,Kelowna Rockets,32,3,4,7,0.22,10,-5
,,Vancouver Giants,32,4,3,7,0.22,10,-8
,,,,,,,,,
311,Dawson Holt (RW/C),Vancouver Giants,39,6,8,14,0.36,32,-10
312,Spencer Moe (RW),Prince Albert Raiders,61,6,8,14,0.23,6,-10
313,Adam Kadlec (C),totals,60,5,9,14,0.23,25,-9
,,Prince George Cougars,6,0,0,0,0,4,0
,,Prince Albert Raiders,54,5,9,14,0.26,21,-9
314,Zane Franklin (C),Lethbridge Hurricanes,64,5,9,14,0.22,103,-6
315,Owen Hardy (C/LW),Vancouver Giants,65,5,9,14,0.22,42,-6
316,Brett Kemp (C),totals,36,4,10,14,0.39,8,-18
,,Everett Silvertips,17,3,4,7,0.41,0,-3
,,Edmonton Oil Kings,19,1,6,7,0.37,8,-15
317,Kade Jensen (D),totals,73,4,10,14,0.19,94,-4
,,Swift Current Broncos,41,3,6,9,0.22,69,0
,,Brandon Wheat Kings,32,1,4,5,0.16,25,-4
318,Brandon Schuldhaus (D),totals,67,2,12,14,0.21,58,0
,,Seattle Thunderbirds,33,2,3,5,0.15,30,-5
,,Red Deer Rebels,34,0,9,9,0.26,28,5
319,Dmitri Osipov (D),totals,73,2,12,14,0.19,82,-2
,,Vancouver Giants,42,1,10,11,0.26,39,-1
,,Brandon Wheat Kings,31,1,2,3,0.1,43,-1
320,Anatoli Yelizarov (D),Edmonton Oil Kings,67,7,6,13,0.19,65,-22
,,,,,,,,,
321,Lane Gilliss (LW),Portland Winterhawks,65,6,7,13,0.2,33,0
322,Bryan Lockner (F/RW),Regina Pats,62,4,9,13,0.21,31,2
323,Elijah Brown (C),Seattle Thunderbirds,64,4,9,13,0.2,12,-3
324,Conner Bruggen-Cate (LW),Kelowna Rockets,55,3,10,13,0.24,37,-4
325,Shane Collins (D),Prince George Cougars,72,2,11,13,0.18,31,7
326,Kole Gable (LW),totals,45,6,6,12,0.27,6,-5
,,Edmonton Oil Kings,8,1,0,1,0.13,0,-6
,,Swift Current Broncos,37,5,6,11,0.3,6,1
327,Andrew Fyten (C),Calgary Hitmen,63,6,6,12,0.19,75,-7
328,Ryan Chyzowski (LW),Medicine Hat Tigers,52,5,7,12,0.23,6,-2
329,Jordan Wharrie (D),totals,71,5,7,12,0.17,52,-13
,,Brandon Wheat Kings,41,3,7,10,0.24,24,6
,,Vancouver Giants,30,2,0,2,0.07,28,-19
330,Jack Cowell (LW),Kelowna Rockets,59,4,8,12,0.2,17,-4
,,,,,,,,,
331,Tanner Wishnowski (LW),totals,28,3,9,12,0.43,30,-1
,,Kelowna Rockets,10,1,1,2,0.2,8,-3
,,Spokane Chiefs,13,2,6,8,0.62,20,1
,,Prince George Cougars,5,0,2,2,0.4,2,1
332,Jackson Shepard (LW),Kamloops Blazers,41,3,9,12,0.29,32,3
333,Reece Harsch (D),Seattle Thunderbirds,67,3,9,12,0.18,16,2
334,Nick Heid (D),Prince Albert Raiders,63,2,10,12,0.19,38,-32
335,Marsel Ibragimov (D),Victoria Royals,72,2,10,12,0.17,42,12
336,Zack Hayes (D),Prince Albert Raiders,72,2,10,12,0.17,82,-12
337,Ilijah Colina (C),Portland Winterhawks,46,1,11,12,0.26,8,-13
338,Brady Pouteau (D),totals,48,1,11,12,0.25,19,12
,,Regina Pats,18,0,2,2,0.11,6,5
,,Lethbridge Hurricanes,30,1,9,10,0.33,13,7
339,Joel Lakusta (D),Prince George Cougars,60,1,11,12,0.2,24,15
340,Zack Andrusiak (LW),totals,60,6,5,11,0.18,16,-12
,,Prince Albert Raiders,8,1,1,2,0.25,0,-2
,,Seattle Thunderbirds,52,5,4,9,0.17,16,-10
,,,,,,,,,
341,Luke Ormsby (RW),Seattle Thunderbirds,65,6,5,11,0.17,25,-1
342,Ty Gerla (LW),Edmonton Oil Kings,43,5,6,11,0.26,60,-14
343,Caleb Fantillo (RW),totals,55,5,6,11,0.2,61,-3
,,Medicine Hat Tigers,5,0,2,2,0.4,12,1
,,Saskatoon Blades,50,5,4,9,0.18,49,-4
344,Jordan Roy (C/LW),Red Deer Rebels,63,5,6,11,0.17,47,-5
345,Cole Johnson (C),totals,54,4,7,11,0.2,37,-2
,,Swift Current Broncos,34,4,6,10,0.29,18,1
,,Saskatoon Blades,20,0,1,1,0.05,19,-3
346,Davis Murray (C/LW),Edmonton Oil Kings,52,3,8,11,0.21,99,-10
347,Josh Anderson (D),Prince George Cougars,69,3,8,11,0.16,75,13
348,Dalton Hamaliuk (D),Spokane Chiefs,70,0,11,11,0.16,36,-28
349,Pavel Kousal (LW/RW),Spokane Chiefs,49,7,3,10,0.2,18,-6
350,Kirby Dach (C),Saskatoon Blades,19,6,4,10,0.53,4,3
,,,,,,,,,
351,Bradley Ginnell (C),Portland Winterhawks,51,6,4,10,0.2,24,-5
352,Blake Bargar (RW),Victoria Royals,61,6,4,10,0.16,52,-17
353,Braydyn Chizen (D),Kelowna Rockets,65,3,7,10,0.15,82,1
354,Caiden Daley (C),Brandon Wheat Kings,60,2,8,10,0.17,18,-12
355,Darian Skeoch (D/RW),Vancouver Giants,27,1,9,10,0.37,46,4
356,Ryan Schoettler (D),Prince George Cougars,58,1,9,10,0.17,8,10
357,Ethan Cap (D),Edmonton Oil Kings,62,1,9,10,0.16,20,-19
358,Liam Schioler (D),Regina Pats,72,1,9,10,0.14,48,28
359,Wyatte Wylie (D),Everett Silvertips,71,0,10,10,0.14,50,-3
360,Tyler Popowich (C),Vancouver Giants,53,7,2,9,0.17,44,-12
,,,,,,,,,
361,Grayson Pawlenchuk (C/LW),Red Deer Rebels,19,4,5,9,0.47,14,0
362,Orrin Centazzo (LW),Everett Silvertips,41,4,5,9,0.22,13,-3
