,Name,Team,GP,G,A,PTS,PTS/GM,PIMS,PLUS/MINUS
1,Dylan Strome (C),Erie Otters,68,45,84,129,1.9,32,47
2,Mitchell Marner (RW),London Knights,63,44,82,126,2,53,36
3,Connor McDavid (C),Erie Otters,47,44,76,120,2.55,48,60
4,Joseph Blandisi (C/LW),Barrie Colts,68,52,60,112,1.65,126,18
5,Christian Dvorak (C),London Knights,66,41,68,109,1.65,24,33
6,Kevin Labanc (RW/LW),Barrie Colts,68,31,76,107,1.57,55,13
7,Alex DeBrincat (RW/LW),Erie Otters,68,51,53,104,1.53,73,59
8,Andrew Mangiapane (LW),Barrie Colts,68,43,61,104,1.53,54,24
9,Max Domi (C/LW),London Knights,57,32,70,102,1.79,66,24
10,Tyler Bertuzzi (LW/RW),Guelph Storm,68,43,55,98,1.44,91,26
,,,,,,,,,
11,Sergei Tolchinsky (LW/RW),Soo Greyhounds,61,30,65,95,1.56,10,41
12,Michael Dal Colle (LW/RW),Oshawa Generals,56,42,51,93,1.66,18,32
13,Tony DeAngelo (D),totals,55,25,64,89,1.62,115,34
,,Sarnia Sting,29,10,28,38,1.31,64,1
,,Soo Greyhounds,26,15,36,51,1.96,51,33
14,Carter Verhaeghe (C/RW),Niagara IceDogs,68,33,49,82,1.21,38,21
15,Jared McCann (C/LW),Soo Greyhounds,56,34,47,81,1.45,27,30
16,Kyle Platzer (RW/C),Owen Sound Attack,68,34,47,81,1.19,46,13
17,Cole Cassels (C),Oshawa Generals,54,30,51,81,1.5,100,34
18,Josh Ho-Sang (RW),totals,60,17,64,81,1.35,46,7
,,Windsor Spitfires,11,3,16,19,1.73,8,-2
,,Niagara IceDogs,49,14,48,62,1.27,38,9
19,Dante Salituro (RW/C),Ottawa 67's,68,37,41,78,1.15,38,-1
20,Tobias Lindberg (RW/LW),Oshawa Generals,67,32,46,78,1.16,14,33
,,,,,,,,,
21,Zach Nastasiuk (RW/C),Owen Sound Attack,64,35,42,77,1.2,34,9
22,Remi Elie (LW),totals,63,30,46,76,1.21,38,27
,,Belleville Bulls,35,14,20,34,0.97,24,4
,,Erie Otters,28,16,26,42,1.5,14,23
23,Matt Rupert (LW),London Knights,61,30,45,75,1.23,74,19
24,Dylan Sadowy (LW/RW),Saginaw Spirit,65,42,32,74,1.14,66,5
25,Michael Bunting (LW/RW),Soo Greyhounds,57,37,37,74,1.3,39,44
26,Erik Bradford (C),totals,69,28,45,73,1.06,34,-10
,,Ottawa 67's,37,12,23,35,0.95,17,-12
,,Owen Sound Attack,32,16,22,38,1.19,17,2
27,Pius Suter (C/LW),Guelph Storm,61,43,29,72,1.18,28,25
28,Jason Dickinson (C/LW),Guelph Storm,56,27,44,71,1.27,32,12
29,Michael Amadio (C),North Bay Battalion,68,24,47,71,1.04,18,30
30,Chris Bigras (D),Owen Sound Attack,62,20,51,71,1.15,52,9
,,,,,,,,,
31,Justin Bailey (RW),totals,57,34,35,69,1.21,44,6
,,Kitchener Rangers,35,22,19,41,1.17,32,-11
,,Soo Greyhounds,22,12,16,28,1.27,12,17
32,Travis Konecny (RW/LW),Ottawa 67's,60,29,39,68,1.13,34,-1
33,Michael McCarron (RW/C),totals,56,28,40,68,1.21,128,25
,,London Knights,25,22,19,41,1.64,58,8
,,Oshawa Generals,31,6,21,27,0.87,70,17
34,Sonny Milano (LW/RW),Plymouth Whalers,50,22,46,68,1.36,24,-17
35,Blake Speers (C/RW),Soo Greyhounds,57,24,43,67,1.18,12,25
36,Nick Paul (LW),North Bay Battalion,58,37,29,66,1.14,49,25
37,Matt Mistele (LW/RW),totals,60,37,27,64,1.07,34,8
,,Plymouth Whalers,35,24,18,42,1.2,19,-3
,,Oshawa Generals,25,13,9,22,0.88,15,11
38,Nicholas Baptiste (RW),totals,53,32,32,64,1.21,26,9
,,Sudbury Wolves,12,6,5,11,0.92,8,-7
,,Erie Otters,41,26,27,53,1.29,18,16
39,Rasmus Andersson (D),Barrie Colts,67,12,52,64,0.96,88,14
