,Name,Team,GP,G,A,PTS,PTS/GM,PIMS,PLUS/MINUS
1,Aaron Luchuk (C),totals,68,50,65,115,1.69,8,27
,,Windsor Spitfires,30,28,23,51,1.7,2,5
,,Barrie Colts,38,22,42,64,1.68,6,22
2,Morgan Frost (C),Soo Greyhounds,67,42,70,112,1.67,56,70
3,Jordan Kyrou (C/RW),Sarnia Sting,56,39,70,109,1.95,22,26
4,Nick Suzuki (C),Owen Sound Attack,64,42,58,100,1.56,18,30
5,Dmitri Sokolov (RW/LW),totals,64,50,46,96,1.5,18,3
,,Sudbury Wolves,35,20,18,38,1.09,8,-12
,,Barrie Colts,29,30,28,58,2,10,15
6,Sam Miletic (LW),totals,63,36,56,92,1.46,24,24
,,London Knights,35,16,38,54,1.54,12,21
,,Niagara IceDogs,28,20,18,38,1.36,12,3
7,Jason Robertson (LW),Kingston Frontenacs,68,41,46,87,1.28,36,8
8,Evan Bouchard (D),London Knights,67,25,62,87,1.3,54,23
9,Adam Mascherin (LW),Kitchener Rangers,67,40,46,86,1.28,20,14
10,Boris Katchouk (LW),Soo Greyhounds,58,42,43,85,1.47,30,53
,,,,,,,,,
11,Linus Nyman (LW/RW),Kingston Frontenacs,67,39,46,85,1.27,12,25
12,Cliff Pu (RW),totals,65,29,55,84,1.29,28,19
,,London Knights,36,16,29,45,1.25,22,4
,,Kingston Frontenacs,29,13,26,39,1.34,6,15
13,Taylor Raddysh (RW),totals,58,33,50,83,1.43,30,24
,,Erie Otters,30,15,29,44,1.47,16,10
,,Soo Greyhounds,28,18,21,39,1.39,14,14
14,Akil Thomas (C),Niagara IceDogs,68,22,59,81,1.19,36,6
15,Kirill Maximov (RW),Niagara IceDogs,62,34,46,80,1.29,72,23
16,Lucas Chiodo (C),Barrie Colts,68,30,49,79,1.16,6,25
17,Ben Jones (C),Niagara IceDogs,68,30,49,79,1.16,53,8
18,Nicolas Hague (D),Mississauga Steelheads,67,35,43,78,1.16,105,2
19,Sasha Chmelevski (C/RW),Ottawa 67's,68,35,41,76,1.12,24,8
20,Justin Brazeau (RW),North Bay Battalion,68,39,36,75,1.1,26,-5
,,,,,,,,,
21,Owen Tippett (RW/LW),Mississauga Steelheads,51,36,39,75,1.47,30,1
22,Nikita Korostelev (RW/LW),Peterborough Petes,64,30,45,75,1.17,54,-23
23,Robert Thomas (C/RW),totals,49,24,51,75,1.53,37,17
,,London Knights,27,20,26,46,1.7,18,13
,,Hamilton Bulldogs,22,4,25,29,1.32,19,4
24,Drake Rymsha (C),Sarnia Sting,68,31,42,73,1.07,70,11
