,Name,Team,GP,G,A,PTS,PTS/GM,PIMS,PLUS/MINUS
,,Prince Albert Raiders,2,1,1,2,1,0,0
,,Spokane Chiefs,50,22,34,56,1.12,28,7
58,Kailer Yamamoto (RW/LW),Spokane Chiefs,68,23,34,57,0.84,50,12
59,Travis Brown (D),Victoria Royals,71,18,39,57,0.8,77,4
60,Mathew Barzal (C),Seattle Thunderbirds,44,12,45,57,1.3,20,13
,,,,,,,,,
61,Tanner Eberle (LW/RW),Moose Jaw Warriors,63,33,23,56,0.89,99,5
62,Nolan Patrick (C),Brandon Wheat Kings,55,30,26,56,1.02,19,25
63,Tyler Wong (RW),Lethbridge Hurricanes,64,27,29,56,0.88,34,4
64,Chase Lang (C/RW),Calgary Hitmen,63,25,31,56,0.89,61,16
65,Pavel Padakin (RW),totals,70,27,28,55,0.79,90,12
,,Calgary Hitmen,1,1,0,1,1,0,-1
,,Regina Pats,69,26,28,54,0.78,90,13
66,Lane Bauer (C),Edmonton Oil Kings,71,25,30,55,0.77,21,22
67,Jack Walker (LW),Victoria Royals,70,18,37,55,0.79,65,18
68,Jamal Watson (LW/RW),Lethbridge Hurricanes,66,26,28,54,0.82,42,-29
69,Wyatt Johnson (C),Red Deer Rebels,71,25,29,54,0.76,48,21
70,Sam Steel (C),Regina Pats,61,17,37,54,0.89,16,10
,,,,,,,,,
71,Glenn Gawdin (C),Swift Current Broncos,72,15,39,54,0.75,59,-9
72,Josh Connolly (D),totals,63,13,41,54,0.86,39,-21
,,Kamloops Blazers,39,5,29,34,0.87,20,-8
,,Prince George Cougars,24,8,12,20,0.83,19,-13
73,Liam Stewart (C/LW),Spokane Chiefs,71,25,28,53,0.75,26,-9
74,Craig Leverton (LW),Prince Albert Raiders,70,20,33,53,0.76,41,-10
75,Leon Draisaitl (C/W),Kelowna Rockets,32,19,34,53,1.66,25,14
76,Jake Virtanen (RW),Calgary Hitmen,50,21,31,52,1.04,82,15
77,Steven Owre (C),Medicine Hat Tigers,55,20,32,52,0.95,38,17
78,Ryan Pilon (D),Brandon Wheat Kings,68,11,41,52,0.76,40,36
79,Noah Juulsen (D),Everett Silvertips,68,9,43,52,0.76,42,22
80,Levi Cable (LW),Kootenay Ice,69,28,23,51,0.74,12,8
,,,,,,,,,
81,Beau McCue (RW),Tri-City Americans,72,26,25,51,0.71,29,-15
82,Giorgio Estephan (C),Lethbridge Hurricanes,64,23,28,51,0.8,18,-1
83,Jackson Houck (RW),Vancouver Giants,65,22,29,51,0.78,84,-9
84,Justin Kirkland (LW/C),Kelowna Rockets,50,21,30,51,1.02,25,31
85,Richard Nejezchleb (LW/RW),totals,49,20,31,51,1.04,62,-25
,,Brandon Wheat Kings,2,1,1,2,1,0,2
,,Tri-City Americans,47,19,30,49,1.04,62,-27
86,Reid Duke (C),totals,53,20,31,51,0.96,66,19
,,Lethbridge Hurricanes,1,0,0,0,0,0,-3
,,Brandon Wheat Kings,52,20,31,51,0.98,66,22
87,Chad Butcher (RW),Medicine Hat Tigers,61,20,31,51,0.84,28,14
88,Radel Fazleyev (C/LW),Calgary Hitmen,71,18,33,51,0.72,36,23
89,Dysin Mayo (D),Edmonton Oil Kings,72,14,37,51,0.71,75,14
90,Ashton Sautner (D),Edmonton Oil Kings,72,12,39,51,0.71,38,15
,,,,,,,,,
91,Brett Stovin (C/RW/D),Saskatoon Blades,72,29,21,50,0.69,44,-33
92,Carter Popoff (C),Vancouver Giants,72,24,26,50,0.69,38,-9
93,Patrick D'Amico (C),Regina Pats,72,20,30,50,0.69,53,19
94,Conner Bleackley (C),Red Deer Rebels,51,27,22,49,0.96,49,13
95,Brad Morrison (C),Prince George Cougars,67,23,26,49,0.73,30,-3
96,Jayden Hart (C/RW),Prince Albert Raiders,59,22,27,49,0.83,94,-25
97,Brett Cote (D),Red Deer Rebels,72,9,40,49,0.68,36,18
98,Presten Kopek (C),Red Deer Rebels,72,21,27,48,0.67,29,5
99,Shea Theodore (D),Seattle Thunderbirds,43,13,35,48,1.12,16,17
100,Cory Millette (LW),totals,71,24,23,47,0.66,41,-11
,,Saskatoon Blades,22,5,9,14,0.64,20,-16
,,Prince Albert Raiders,17,3,1,4,0.24,11,-7
,,Seattle Thunderbirds,32,16,13,29,0.91,10,12
101,John Quenneville (C/W),Brandon Wheat Kings,57,17,30,47,0.82,63,12
102,Lucas Nickles (LW),Tri-City Americans,72,24,22,46,0.64,40,0
103,Brett Howden (C),Moose Jaw Warriors,68,22,24,46,0.68,24,-31
104,Carter Rigby (LW),totals,62,18,28,46,0.74,91,-15
,,Kelowna Rockets,7,5,4,9,1.29,12,3
,,Swift Current Broncos,55,13,24,37,0.67,79,-18
105,Gage Quinney (C),totals,70,16,30,46,0.66,6,8
,,Prince Albert Raiders,32,6,9,15,0.47,2,-3
,,Kelowna Rockets,38,10,21,31,0.82,4,11
106,Jesse Lees (D),totals,68,13,33,46,0.68,72,-10
,,Kelowna Rockets,29,6,16,22,0.76,26,13
,,Prince Albert Raiders,39,7,17,24,0.62,46,-23
107,Thomas Foster (C),Vancouver Giants,69,13,33,46,0.67,77,-5
108,Rinat Valiyev (D),Kootenay Ice,52,9,37,46,0.88,53,22
109,Zane Jones (LW/RW),totals,69,29,16,45,0.65,54,-35
,,Everett Silvertips,1,0,0,0,0,0,0
,,Lethbridge Hurricanes,37,18,12,30,0.81,25,-24
,,Vancouver Giants,31,11,4,15,0.48,29,-11
110,Patrick Bajkov (RW/LW),Everett Silvertips,72,23,22,45,0.63,14,-3
,,,,,,,,,
111,Tyrell Goulbourne (LW/RW),Kelowna Rockets,62,22,23,45,0.73,76,20
112,Kenton Helgesen (LW),Calgary Hitmen,67,21,24,45,0.67,51,17
113,Tyler Benson (LW),Vancouver Giants,62,14,31,45,0.73,55,-1
114,Tyler Lewington (D),Medicine Hat Tigers,69,9,36,45,0.65,113,25
115,Eric Roy (D),Brandon Wheat Kings,66,5,40,45,0.68,55,31
116,Jesse Gabrielle (LW/RW),totals,66,23,21,44,0.67,112,2
,,Brandon Wheat Kings,33,13,12,25,0.76,69,10
,,Regina Pats,33,10,9,19,0.58,43,-8
117,Jari Erricson (LW/C),Prince George Cougars,64,22,22,44,0.69,87,11
118,Markus Eisenschmid (C/RW),Medicine Hat Tigers,50,19,25,44,0.88,14,13
119,Parker Bowles (LW/C),Tri-City Americans,47,13,31,44,0.94,42,-2
120,Sam McKechnie (RW/C),totals,69,22,21,43,0.62,39,-20
,,Seattle Thunderbirds,2,0,1,1,0.5,2,1
,,Saskatoon Blades,67,22,20,42,0.63,37,-21
,,,,,,,,,
121,Dominic Turgeon (C),Portland Winterhawks,67,18,25,43,0.64,36,14
122,Riley Stadel (D),Kelowna Rockets,71,10,33,43,0.61,77,36
123,Layne Viveiros (D),Portland Winterhawks,71,8,35,43,0.61,30,-5
124,Collin Shirley (LW/C),Kamloops Blazers,72,26,16,42,0.58,24,-18
125,Remi Laurencelle (LW/C),Everett Silvertips,63,23,19,42,0.67,29,17
126,Pavel Karnaukhov (LW/C),Calgary Hitmen,69,20,22,42,0.61,51,-4
127,Zach Pochiro (LW/C),Prince George Cougars,41,19,23,42,1.02,69,0
128,Brian Williams (C),Tri-City Americans,59,17,25,42,0.71,26,-27
129,Deven Sideroff (RW),Kamloops Blazers,64,17,25,42,0.66,25,18
130,Brett Lernout (D),Swift Current Broncos,72,14,28,42,0.58,68,-12
,,,,,,,,,
131,Simon Stransky (LW/C),Prince Albert Raiders,70,12,30,42,0.6,12,-15
132,Parker Wotherspoon (D),Tri-City Americans,72,9,33,42,0.58,93,-13
133,Scott Feser (LW),Red Deer Rebels,72,16,25,41,0.57,60,-2
134,Colby Williams (D),Regina Pats,64,11,30,41,0.64,95,45
135,Jordan Tkatch (C),Prince Albert Raiders,72,11,30,41,0.57,42,-14
136,Kord Pankewicz (D),totals,64,7,34,41,0.64,58,-2
,,Brandon Wheat Kings,4,1,0,1,0.25,9,2
,,Lethbridge Hurricanes,60,6,34,40,0.67,49,-4
137,Brandon Baddock (LW),Edmonton Oil Kings,71,19,21,40,0.56,136,-11
138,Braylon Shmyr (LW),Brandon Wheat Kings,65,18,22,40,0.62,22,19
139,Zak Zborosky (RW),Kootenay Ice,72,18,22,40,0.56,18,-5
140,Cameron Hebig (C/W),Saskatoon Blades,72,18,22,40,0.56,36,-28
,,,,,,,,,
141,Jay Merkley (C),Swift Current Broncos,63,17,23,40,0.63,14,-13
142,Matt Bradley (C),Medicine Hat Tigers,71,17,23,40,0.56,24,-2
143,Andrew Koep (C/LW),Edmonton Oil Kings,58,14,26,40,0.69,35,3
144,Adam Henry (D),totals,66,11,29,40,0.61,26,-7
,,Seattle Thunderbirds,3,0,1,1,0.33,0,-1
,,Saskatoon Blades,32,3,18,21,0.66,14,-27
,,Portland Winterhawks,31,8,10,18,0.58,12,21
145,Max Lajoie (D),Swift Current Broncos,72,7,33,40,0.56,22,-10
146,Austin Wagner (LW),Regina Pats,61,20,19,39,0.64,53,13
147,Austin Glover (C/RW),totals,55,16,23,39,0.71,4,15
,,Kelowna Rockets,19,6,10,16,0.84,2,17
,,Prince Albert Raiders,36,10,13,23,0.64,2,-2
148,Adam Musil (C),Red Deer Rebels,66,15,24,39,0.59,71,-7
149,Keegan Iverson (RW/C),Portland Winterhawks,68,15,24,39,0.57,91,3
150,Joel Hamilton (C/LW),totals,67,14,25,39,0.58,26,-13
,,Vancouver Giants,40,10,17,27,0.68,18,-8
,,Kamloops Blazers,27,4,8,12,0.44,8,-5
,,,,,,,,,
151,Cole Linaker (C),Kelowna Rockets,72,14,25,39,0.54,22,23
152,Austin Vetterl (RW),Kootenay Ice,72,13,26,39,0.54,56,4
153,Kyle Burroughs (D),totals,66,7,32,39,0.59,85,35
,,Regina Pats,36,5,17,22,0.61,47,31
,,Medicine Hat Tigers,30,2,15,17,0.57,38,4
154,Cole Martin (D),Kelowna Rockets,70,7,32,39,0.56,68,44
155,Jake Bean (D),Calgary Hitmen,51,5,34,39,0.76,2,20
156,Keegan Kolesar (RW),Seattle Thunderbirds,64,19,19,38,0.59,85,-7
157,Torrin White (RW),Moose Jaw Warriors,70,17,21,38,0.54,41,-16
158,Dominic Zwerger (LW),Spokane Chiefs,71,17,21,38,0.54,26,-5
159,Josh Morrissey (D),totals,47,13,25,38,0.81,62,1
,,Prince Albert Raiders,27,7,14,21,0.78,28,-9
,,Kelowna Rockets,20,6,11,17,0.85,34,10
160,Ethan Bear (D),Seattle Thunderbirds,69,13,25,38,0.55,23,1
,,,,,,,,,
161,Mason Geertsen (D),Vancouver Giants,69,13,25,38,0.55,107,3
162,Jerret Smith (D),Seattle Thunderbirds,72,11,27,38,0.53,25,11
163,Brycen Martin (D),totals,69,7,31,38,0.55,41,-13
,,Swift Current Broncos,39,2,14,16,0.41,22,1
,,Saskatoon Blades,30,5,17,22,0.73,19,-14
164,Mike Winther (C),totals,69,15,22,37,0.54,70,-12
,,Calgary Hitmen,1,0,0,0,0,0,-1
,,Kamloops Blazers,39,6,10,16,0.41,36,-8
,,Lethbridge Hurricanes,29,9,12,21,0.72,34,-3
165,Scott Eansor (C),Seattle Thunderbirds,72,14,23,37,0.51,61,2
166,Tyler King (D),Kootenay Ice,68,8,29,37,0.54,35,9
167,Roberts Lipsbergs (W/C),Seattle Thunderbirds,33,16,20,36,1.09,14,12
168,Cole MacDonald (D),Everett Silvertips,72,10,26,36,0.5,27,4
169,Ryan Graham (LW),Saskatoon Blades,54,20,15,35,0.65,46,-26
170,Thomas Vannelli (D),Medicine Hat Tigers,44,12,23,35,0.8,52,19
,,,,,,,,,
171,Logan McVeigh (C),totals,63,10,25,35,0.56,35,-12
,,Regina Pats,2,0,0,0,0,5,-2
,,Kamloops Blazers,61,10,25,35,0.57,30,-10
172,Matt Revel (C),Kamloops Blazers,72,17,17,34,0.47,34,-17
173,Tyler Sandhu (C/RW),totals,68,16,18,34,0.5,12,6
,,Everett Silvertips,9,1,0,1,0.11,6,-1
,,Red Deer Rebels,28,8,10,18,0.64,2,6
,,Tri-City Americans,31,7,8,15,0.48,4,1
174,Kris Schmidli (C/RW),totals,50,12,22,34,0.68,14,10
,,Kelowna Rockets,33,5,12,17,0.52,10,8
,,Prince Albert Raiders,17,7,10,17,1,4,2
175,Brayden Burke (LW/RW),totals,42,8,26,34,0.81,14,-4
,,Red Deer Rebels,1,0,0,0,0,0,0
,,Lethbridge Hurricanes,41,8,26,34,0.83,14,-4
176,Riley Whittingham (RW),Spokane Chiefs,68,19,14,33,0.49,95,-7
177,Tyler Coulter (LW),Brandon Wheat Kings,72,16,17,33,0.46,24,18
178,Alex Schoenborn (RW),Portland Winterhawks,49,15,18,33,0.67,66,-11
179,Dawson Leedahl (LW),Everett Silvertips,52,14,19,33,0.63,68,11
180,Matt Alfaro (C),Kootenay Ice,72,13,20,33,0.46,30,-7
,,,,,,,,,
181,Sawyer Lange (D),Prince Albert Raiders,53,9,24,33,0.62,34,-8
182,Jiri Smejkal (C/LW),Moose Jaw Warriors,72,12,20,32,0.44,50,-16
183,Ben Carroll (D),Edmonton Oil Kings,54,9,23,32,0.59,27,11
184,Michael Fora (D),Kamloops Blazers,60,6,26,32,0.53,68,-9
185,Brendan Guhle (D),Prince Albert Raiders,72,5,27,32,0.44,36,-6
186,Colton Waltz (D),Brandon Wheat Kings,72,5,27,32,0.44,89,39
187,Brayden Low (C),Everett Silvertips,70,16,15,31,0.44,99,20
188,Matteo Gennaro (C/LW),Prince Albert Raiders,72,16,15,31,0.43,44,-9
189,Wyatt Sloboshan (C/LW),Saskatoon Blades,49,10,21,31,0.63,22,-23
190,Ben Thomas (D),Calgary Hitmen,60,7,24,31,0.52,28,14
,,,,,,,,,
191,Ben Betker (D),Everett Silvertips,64,6,25,31,0.48,63,19
192,Macoy Erkamps (D),Brandon Wheat Kings,68,3,28,31,0.46,60,29
193,Edgars Kulda (LW),Edmonton Oil Kings,47,13,17,30,0.64,35,-8
194,Terrell Draude (C),Calgary Hitmen,64,12,18,30,0.47,32,13
195,Nick Zajac (LW/C),Saskatoon Blades,64,11,19,30,0.47,101,-29
196,Brandon Fushimi (RW),Victoria Royals,62,14,15,29,0.47,16,-7
197,Keanu Yamamoto (RW),Spokane Chiefs,71,12,17,29,0.41,20,-27
198,Justin Gutierrez (C),Tri-City Americans,67,11,18,29,0.43,78,-8
199,David Soltes (RW),Prince George Cougars,44,13,15,28,0.64,32,-14
200,Alec Baer (C),Vancouver Giants,67,13,15,28,0.42,27,-9
201,Ty Stanton (D),Medicine Hat Tigers,53,10,18,28,0.53,56,17
202,Cole Benson (C),Edmonton Oil Kings,54,10,18,28,0.52,8,13
203,Justin Hickman (RW),Seattle Thunderbirds,31,9,19,28,0.9,40,3
204,Dustin Perillat (D),Moose Jaw Warriors,53,8,20,28,0.53,20,9
205,Haydn Fleury (D),Red Deer Rebels,63,6,22,28,0.44,63,4
206,Dillon Dubé (C/LW),Kelowna Rockets,45,17,10,27,0.6,12,17
207,Matt Bellerive (RW),Vancouver Giants,58,13,14,27,0.47,37,-23
208,Elliott Peterson (LW/D),Calgary Hitmen,55,11,16,27,0.49,28,20
209,Nikita Soshnin (LW),Saskatoon Blades,70,10,17,27,0.39,16,-15
210,Mads Eller (W/C),Edmonton Oil Kings,58,8,19,27,0.47,78,7
,,,,,,,,,
211,Marc McNulty (D),totals,60,8,19,27,0.45,117,2
,,Prince George Cougars,30,5,10,15,0.5,64,4
,,Kamloops Blazers,30,3,9,12,0.4,53,-2
212,Amil Krupic (D),Saskatoon Blades,69,5,22,27,0.39,48,-18
213,Joe Carvalho (D),Prince George Cougars,71,2,25,27,0.38,18,-4
214,Jaimen Yakubowski (LW),Moose Jaw Warriors,55,9,17,26,0.47,121,-8
215,Luke Bertolucci (RW),Edmonton Oil Kings,57,9,17,26,0.46,16,10
216,Michael Zipp (D),Calgary Hitmen,69,9,17,26,0.38,99,28
217,Grayson Pawlenchuk (C/LW),Red Deer Rebels,72,9,17,26,0.36,21,-9
218,Keoni Texeira (D),Portland Winterhawks,71,8,18,26,0.37,62,32
219,Evan Weinger (RW),Portland Winterhawks,61,7,19,26,0.43,27,0
220,Jordy Stallard (C),Calgary Hitmen,58,6,20,26,0.45,12,9
,,,,,,,,,
221,Kevin Davis (D),Everett Silvertips,64,3,23,26,0.41,18,2
222,Sam Ruopp (D),Prince George Cougars,64,3,23,26,0.41,140,3
223,Davis Koch (C/RW),Edmonton Oil Kings,52,11,14,25,0.48,4,-1
224,Kyle Becker (D),Medicine Hat Tigers,57,11,14,25,0.44,64,11
225,Tim Vanstone (C/RW),Prince Albert Raiders,64,11,14,25,0.39,67,3
226,Arvin Atwal (D),Vancouver Giants,61,6,19,25,0.41,80,-14
227,Blake Orbán (D),Edmonton Oil Kings,72,6,19,25,0.35,113,10
228,Brandon Carlo (D),Tri-City Americans,63,4,21,25,0.4,90,-15
229,Chance Braid (LW),totals,65,13,11,24,0.37,78,-9
,,Prince George Cougars,35,8,5,13,0.37,42,-9
,,Kelowna Rockets,30,5,6,11,0.37,36,0
230,Jake Kryski (LW/C),Kamloops Blazers,65,11,13,24,0.37,20,-20
,,,,,,,,,
231,Josh Uhrich (RW),Saskatoon Blades,72,10,14,24,0.33,91,-21
232,Jon Martin (RW/C),Kootenay Ice,56,7,17,24,0.43,86,9
233,Andrew Nielsen (D),Lethbridge Hurricanes,59,7,17,24,0.41,101,-9
234,Donovan Neuls (C),Seattle Thunderbirds,69,7,17,24,0.35,32,9
235,Ryley Lindgren (C/RW),totals,51,6,18,24,0.47,31,-11
,,Brandon Wheat Kings,4,0,0,0,0,0,-1
,,Lethbridge Hurricanes,47,6,18,24,0.51,31,-10
236,Tate Olson (D),Prince George Cougars,68,5,19,24,0.35,69,-13
237,Evan Polei (LW),Red Deer Rebels,53,16,7,23,0.43,76,-10
238,Graham Millar (RW),Everett Silvertips,70,13,10,23,0.33,23,-12
239,Luke Harrison (RW),Kamloops Blazers,69,12,11,23,0.33,51,-24
240,Jackson Playfair (RW),totals,74,12,11,23,0.31,67,-19
,,Tri-City Americans,16,4,3,7,0.44,24,4
,,Spokane Chiefs,58,8,8,16,0.28,43,-23
,,,,,,,,,
241,Rodney Southam (RW/C),totals,63,9,14,23,0.37,91,15
,,Tri-City Americans,10,2,3,5,0.5,16,1
,,Kelowna Rockets,53,7,11,18,0.34,75,14
242,Nolan Volcan (LW),Seattle Thunderbirds,67,9,14,23,0.34,38,-2
243,Taylor Sanheim (LW),Calgary Hitmen,53,4,19,23,0.43,65,12
244,Tyler Robertson (LW),Edmonton Oil Kings,71,10,12,22,0.31,42,1
245,Evan Wardley (D),Seattle Thunderbirds,57,6,16,22,0.39,120,7
246,Carsen Twarynski (LW),Calgary Hitmen,58,6,16,22,0.38,22,5
247,Blake Heinrich (D),Portland Winterhawks,62,5,17,22,0.35,53,32
248,Logan Fisher (C),Victoria Royals,72,4,18,22,0.31,52,-2
249,Keegan Kanzig (D),totals,70,3,19,22,0.31,166,38
,,Victoria Royals,21,0,6,6,0.29,51,5
,,Calgary Hitmen,49,3,13,16,0.33,115,33
250,Duncan Campbell (C),Brandon Wheat Kings,68,12,9,21,0.31,25,7
,,,,,,,,,
251,Carter Folk (LW),Lethbridge Hurricanes,62,11,10,21,0.34,103,-25
252,Jesse Shynkaruk (C/LW),totals,65,9,12,21,0.32,41,-16
,,Kamloops Blazers,18,1,7,8,0.44,12,-3
,,Moose Jaw Warriors,47,8,5,13,0.28,29,-13
253,Rykr Cole (C),Regina Pats,68,9,12,21,0.31,48,8
254,Markson Bechtold (LW/C),Spokane Chiefs,67,8,13,21,0.31,52,-13
255,Tyler Mrkonijc (RW),Prince George Cougars,72,8,13,21,0.29,44,-11
256,Ty Comrie (C),Tri-City Americans,71,7,14,21,0.3,17,-34
257,Chaz Reddekopp (D),Victoria Royals,72,5,16,21,0.29,53,12
258,Brennan Menell (D),Vancouver Giants,57,2,19,21,0.37,16,-16
259,Dalton Sward (C/RW),Vancouver Giants,57,11,9,20,0.35,54,-5
260,Quintin Lisoway (C/LW),Brandon Wheat Kings,64,9,11,20,0.31,2,14
,,,,,,,,,
261,Lane Pederson (C),Seattle Thunderbirds,63,8,12,20,0.32,17,-7
262,Chad Labelle (C),Medicine Hat Tigers,70,8,12,20,0.29,36,-6
263,Ryan Rehill (D),Kamloops Blazers,68,7,13,20,0.29,128,-6
264,Jordan Thomson (D),totals,55,6,14,20,0.36,57,-8
,,Saskatoon Blades,24,2,10,12,0.5,26,-3
,,Swift Current Broncos,31,4,4,8,0.26,31,-5
265,Jared Bethune (C),Prince George Cougars,61,6,14,20,0.33,39,-23
266,David Quenneville (D),Medicine Hat Tigers,66,6,14,20,0.3,47,2
267,Alexei Sleptsov (D),totals,48,0,20,20,0.42,14,-11
,,Moose Jaw Warriors,34,0,18,18,0.53,12,-10
,,Victoria Royals,14,0,2,2,0.14,2,-1
268,Anton Cederholm (D),Portland Winterhawks,68,9,10,19,0.28,84,15
269,Colton Heffley (C),totals,72,7,12,19,0.26,99,-5
,,Kelowna Rockets,27,3,7,10,0.37,39,5
,,Prince Albert Raiders,45,4,5,9,0.2,60,-10
270,Florian Baltram (C/LW),totals,69,5,14,19,0.28,36,-25
,,Seattle Thunderbirds,35,1,4,5,0.14,20,-7
,,Lethbridge Hurricanes,34,4,10,14,0.41,16,-18
,,,,,,,,,
271,Kade Jensen (D),Lethbridge Hurricanes,64,4,15,19,0.3,77,-27
272,Nick Charif (D),totals,38,3,16,19,0.5,22,-16
,,Red Deer Rebels,11,1,7,8,0.73,2,-4
,,Spokane Chiefs,27,2,9,11,0.41,20,-12
273,Nelson Nogier (D),totals,70,3,16,19,0.27,84,-28
,,Saskatoon Blades,32,1,7,8,0.25,42,-27
,,Red Deer Rebels,38,2,9,11,0.29,42,-1
274,Sergei Zborovsky (D),Regina Pats,71,3,16,19,0.27,70,15
275,Troy Murray (D),Kootenay Ice,72,3,16,19,0.26,35,-25
276,Dallas Valentine (D),Moose Jaw Warriors,69,2,17,19,0.28,26,8
277,Justin Hamonic (D),Tri-City Americans,72,1,18,19,0.26,95,-24
