,Name,Team,GP,G,A,PTS,PTS/GM,PIMS,PLUS/MINUS
1,Oliver Bjorkstrand (RW/LW),Portland Winterhawks,59,63,55,118,2,35,60
2,Trevor Cox (LW),Medicine Hat Tigers,69,29,80,109,1.58,57,29
3,Tim McGauley (C),Brandon Wheat Kings,72,42,63,105,1.46,24,43
4,Cole Sanford (RW/C),Medicine Hat Tigers,72,50,45,95,1.32,71,24
5,Cole Ully (LW),Kamloops Blazers,69,34,60,94,1.36,32,12
6,Nick Merkley (RW/C),Kelowna Rockets,72,20,70,90,1.25,79,29
7,Nic Petan (W/C),Portland Winterhawks,54,15,74,89,1.65,41,41
8,Adam Helewka (C/LW),Spokane Chiefs,69,44,43,87,1.26,59,10
9,Brayden Point (C),Moose Jaw Warriors,60,38,49,87,1.45,46,6
10,Adam Tambellini (LW/C),Calgary Hitmen,71,47,39,86,1.21,30,43
,,,,,,,,,
11,Jack Rodewald (RW),Moose Jaw Warriors,71,35,50,85,1.2,72,-4
12,Chase De Leo (C),Portland Winterhawks,67,39,45,84,1.25,30,22
13,Dryden Hunt (LW),totals,71,33,50,83,1.17,50,8
,,Regina Pats,37,14,33,47,1.27,32,14
,,Medicine Hat Tigers,34,19,17,36,1.06,18,-6
14,Rourke Chartier (C),Kelowna Rockets,58,48,34,82,1.41,18,33
15,Luke Philp (C),Kootenay Ice,71,30,52,82,1.15,28,16
16,Nikita Scherbak (RW/LW),Everett Silvertips,65,27,55,82,1.26,60,33
17,Jake DeBrusk (LW/RW),Swift Current Broncos,72,42,39,81,1.13,40,-9
18,Jaedon Descheneau (RW),Kootenay Ice,70,34,47,81,1.16,58,9
19,Morgan Klimchuk (LW),totals,60,34,46,80,1.33,24,39
,,Regina Pats,27,14,16,30,1.11,12,13
,,Brandon Wheat Kings,33,20,30,50,1.52,12,26
20,Connor Rankin (C/LW),Calgary Hitmen,72,32,47,79,1.1,68,35
,,,,,,,,,
21,Jansen Harkins (C),Prince George Cougars,70,20,59,79,1.13,45,7
22,Austin Carroll (RW),Victoria Royals,69,38,39,77,1.12,124,23
23,Tyson Baillie (C/RW),Kelowna Rockets,68,37,39,76,1.12,68,16
24,Matt Needham (C),Kamloops Blazers,71,25,51,76,1.07,63,31
25,Colby Cave (C),Swift Current Broncos,72,35,40,75,1.04,52,3
26,Peter Quenneville (C/RW),Brandon Wheat Kings,72,27,48,75,1.04,20,20
27,Rihards Bukarts (LW/RW),Brandon Wheat Kings,62,33,41,74,1.19,16,21
28,Paul Bittner (LW),Portland Winterhawks,66,34,37,71,1.08,52,39
29,Riley Sheen (LW/D),totals,71,24,47,71,1,61,-6
,,Lethbridge Hurricanes,27,3,20,23,0.85,37,-19
,,Red Deer Rebels,44,21,27,48,1.09,24,13
30,Chase Witala (LW/C),Prince George Cougars,68,38,31,69,1.01,56,-3
,,,,,,,,,
31,Carson Stadnyk (RW/C),Everett Silvertips,71,27,42,69,0.97,24,18
32,Jayce Hawryluk (C/RW),Brandon Wheat Kings,54,30,35,65,1.2,69,42
33,Sam Reinhart (C/RW),Kootenay Ice,47,19,46,65,1.38,20,6
34,Travis Sanheim (D),Calgary Hitmen,67,15,50,65,0.97,52,27
35,Reid Gardiner (RW),Prince Albert Raiders,67,34,30,64,0.96,44,-3
36,Joe Hicketts (D),Victoria Royals,62,12,52,64,1.03,48,17
37,Tim Bozon (LW),Kootenay Ice,57,35,28,63,1.11,19,-4
38,Tyler Soy (C),Victoria Royals,69,28,35,63,0.91,29,22
39,Brett Pollock (LW/RW),Edmonton Oil Kings,70,32,30,62,0.89,88,15
40,Adam Brooks (C),Regina Pats,64,30,32,62,0.97,18,24
,,,,,,,,,
41,Ivan Nikolishin (C/LW),Everett Silvertips,72,16,46,62,0.86,19,-1
42,Jason Fram (D),Spokane Chiefs,70,9,53,62,0.89,20,2
43,Coda Gordon (LW),Swift Current Broncos,62,25,36,61,0.98,25,-1
44,Brandon Magee (C/RW),Victoria Royals,50,23,38,61,1.22,67,14
45,Connor Gay (RW),totals,71,23,38,61,0.86,14,21
,,Regina Pats,39,20,24,44,1.13,6,19
,,Red Deer Rebels,32,3,14,17,0.53,8,2
46,Ivan Provorov (D),Brandon Wheat Kings,60,15,46,61,1.02,42,36
47,Kohl Bauml (C),Everett Silvertips,71,30,30,60,0.85,18,21
48,Taylor Cooper (LW),totals,65,25,35,60,0.92,38,-10
,,Lethbridge Hurricanes,38,12,16,28,0.74,28,-13
,,Regina Pats,27,13,19,32,1.19,10,3
49,Madison Bowey (D),Kelowna Rockets,58,17,43,60,1.03,66,38
50,Miles Koules (C/RW),totals,69,27,32,59,0.86,47,15
,,Medicine Hat Tigers,2,1,0,1,0.5,0,1
,,Portland Winterhawks,67,26,32,58,0.87,47,14
,,,,,,,,,
51,Brooks Maxwell (RW/D),Red Deer Rebels,71,27,32,59,0.83,49,8
52,Braden Christoffer (C),Regina Pats,72,26,33,59,0.82,147,13
53,Axel Blomqvist (LW/RW),totals,61,25,34,59,0.97,26,3
,,Victoria Royals,34,14,15,29,0.85,10,2
,,Moose Jaw Warriors,27,11,19,30,1.11,16,1
54,Greg Chase (C/LW),totals,61,20,39,59,0.97,59,6
,,Calgary Hitmen,15,2,13,15,1,20,2
,,Victoria Royals,46,18,26,44,0.96,39,4
55,Ryan Gropp (LW),Seattle Thunderbirds,67,30,28,58,0.87,44,9
56,Alex Forsberg (LW/C),totals,66,26,32,58,0.88,47,-11
,,Saskatoon Blades,36,13,20,33,0.92,17,-10
,,Victoria Royals,30,13,12,25,0.83,30,-1
57,Calder Brooks (LW/C),totals,52,23,35,58,1.12,28,7
