Draft Position,Team,Player,Seasons,GP,G,A,PTS,PIMS,League
#110,Toronto Maple Leafs,Ian Scott (G),4,175,-,-,-,-,WHL
#161,Vegas Golden Knights,Jiri Patera (G),2,80,-,-,-,-,WHL
#183,Ottawa Senators,Jordan Hollett (G),5,115,-,-,-,-,WHL
#194,Dallas Stars,Dylan Ferguson (G),4,155,-,-,-,-,WHL
#54,Buffalo Sabres,Ukko-Pekka Luukkonen (G),1,53,-,-,-,-,OHL
#64,Vancouver Canucks,Michael DiPietro (G),4,174,-,-,-,-,OHL
#72,Los Angeles Kings,Matthew Villalta (G),3,133,-,-,-,-,OHL
#78,Edmonton Oilers,Stuart Skinner (G),5,207,-,-,-,-,WHL
#96,Vegas Golden Knights,Maxim Zhukov (G),1,19,-,-,-,-,OHL
#13,Vegas Golden Knights,Nick Suzuki (F),4,251,141,187,328,44,OHL
#39,Dallas Stars,Jason Robertson (F),4,252,149,168,317,113,OHL
#27,Philadelphia Flyers,Morgan Frost (F),4,257,106,204,310,149,OHL
#6,Vegas Golden Knights,Cody Glass (F),5,239,94,198,292,100,WHL
#22,Edmonton Oilers,Kailer Yamamoto (F),4,230,105,186,291,148,WHL
#73,Carolina Hurricanes,Stelio Mattheos (F),5,253,127,151,278,227,WHL
#60,Anaheim Ducks,Antoine Morand (F),4,243,90,180,270,186,QMJHL
#85,Minnesota Wild,Ivan Lodnia (F),5,261,101,150,251,107,OHL
#128,Arizona Coyotes,Tyler Steenbergen (F),4,267,123,126,249,97,WHL
#106,Philadelphia Flyers,Matthew Strome (F),4,260,115,132,247,189,OHL
#10,Florida Panthers,Owen Tippett (F),4,213,128,116,244,94,OHL
#50,Anaheim Ducks,Maxime Comtois (F),4,205,123,121,244,267,QMJHL
#189,Vegas Golden Knights,Ben Jones (F),4,260,89,151,240,207,OHL
#41,Los Angeles Kings,Jaret Anderson-Dolan (F),5,244,113,123,236,85,WHL
#53,Boston Bruins,Jack Studnicka (F),4,252,80,153,233,156,OHL
#212,San Jose Sharks,Ivan Chekhovich (F),3,191,98,126,224,80,QMJHL
