,Name,Team,GP,G,A,PTS,PTS/GM,PIMS,PLUS/MINUS
387,Daniel Walker (C),North Bay Battalion,56,0,5,5,0.09,56,-9
388,Jacob Stos (LW),Sarnia Sting,29,2,2,4,0.14,37,3
389,Owen Gilhula (C),Sudbury Wolves,31,2,2,4,0.13,6,-11
390,Carson Edwardson (C),Erie Otters,36,2,2,4,0.11,43,2
,,,,,,,,,
391,Tyler Angle (C),Windsor Spitfires,41,2,2,4,0.1,6,-5
392,Nolan Makkonen (D),Guelph Storm,28,1,3,4,0.14,12,-17
393,Brady Pataki (RW),totals,30,1,3,4,0.13,8,4
,,Sudbury Wolves,4,0,2,2,0.5,2,0
,,London Knights,26,1,1,2,0.08,6,4
394,Quinn Hanna (D),Guelph Storm,37,1,3,4,0.11,9,-3
395,Sam Field (RW),Kingston Frontenacs,45,1,3,4,0.09,47,-7
396,Kevin Bahl (D),Ottawa 67's,57,1,3,4,0.07,53,-14
397,William Brown (D),Ottawa 67's,20,0,4,4,0.2,25,-4
398,Austin Clapham (D),Niagara IceDogs,25,0,4,4,0.16,10,-5
399,Bradey Johnson (C),Niagara IceDogs,35,0,4,4,0.11,2,-12
400,Jake Ramalho (D),Mississauga Steelheads,40,0,4,4,0.1,24,-11
