Draft Position,Team,Player,Seasons,GP,G,A,PTS,PIMS,League
#28,New York Islanders,Anthony Beauvillier (F),3,178,91,115,206,155,QMJHL
#120,Tampa Bay Lightning,Mathieu Joseph (F),4,201,91,115,206,170,QMJHL
#64,Tampa Bay Lightning,Dennis Yan (F),3,185,111,97,208,209,QMJHL
#9,San Jose Sharks,Timo Meier (F),3,179,95,116,211,153,QMJHL
#71,Colorado Avalanche,Jean-Christophe Beaudin (F),4,195,77,138,215,96,QMJHL
#48,Ottawa Senators,Filip Chlapík (F),3,173,79,141,220,190,QMJHL
#138,Carolina Hurricanes,Spencer Smallman (F),5,293,86,137,223,223,QMJHL
#100,Nashville Predators,Anthony Richard (F),4,232,111,127,238,179,QMJHL
#46,Pittsburgh Penguins,Daniel Sprong (F),4,199,117,144,261,68,QMJHL
#96,Carolina Hurricanes,Nicolas Roy (F),4,247,116,145,261,176,QMJHL
#123,Arizona Coyotes,Conor Garland (F),4,206,104,224,328,218,QMJHL
#77,Florida Panthers,Sam Montembeault (G),4,154,-,-,-,-,QMJHL
#93,Carolina Hurricanes,Callum Booth (G),4,152,-,-,-,-,QMJHL
