,Name,Team,GP,G,A,PTS,PTS/GM,PIMS,PLUS/MINUS
1,Kevin Labanc (RW/LW),Barrie Colts,65,39,88,127,1.95,70,60
2,Christian Dvorak (C),London Knights,59,52,69,121,2.05,27,56
3,Mitchell Marner (RW),London Knights,57,39,77,116,2.04,68,45
4,Dylan Strome (C),Erie Otters,56,37,74,111,1.98,44,23
5,Matthew Tkachuk (LW),London Knights,57,30,77,107,1.88,80,45
6,Andrew Mangiapane (LW),Barrie Colts,59,51,55,106,1.8,50,40
7,Alex DeBrincat (RW/LW),Erie Otters,60,51,50,101,1.68,28,18
8,Travis Konecny (RW/LW),totals,60,30,71,101,1.68,27,33
,,Ottawa 67's,29,7,38,45,1.55,6,7
,,Sarnia Sting,31,23,33,56,1.81,21,26
9,Michael Amadio (C),North Bay Battalion,68,50,48,98,1.44,40,30
10,Christian Fischer (RW),Windsor Spitfires,66,40,50,90,1.36,34,35
,,,,,,,,,
11,Spencer Watson (RW),Kingston Frontenacs,64,43,46,89,1.39,32,31
12,Hunter Garlent (C),Peterborough Petes,68,40,47,87,1.28,34,26
13,Dante Salituro (RW/C),Ottawa 67's,65,38,45,83,1.28,55,5
14,Eric Cornel (C/RW),Peterborough Petes,68,27,56,83,1.22,18,19
15,Josh Ho-Sang (RW),Niagara IceDogs,66,19,63,82,1.24,44,28
16,Ryan MacInnis (C),Kitchener Rangers,59,38,43,81,1.37,49,15
17,Adam Mascherin (LW),Kitchener Rangers,65,35,46,81,1.25,16,19
18,Michael Dal Colle (LW/RW),totals,60,35,45,80,1.33,26,17
,,Oshawa Generals,30,8,17,25,0.83,10,-13
,,Kingston Frontenacs,30,27,28,55,1.83,16,30
19,Alexander Nylander (RW/LW),Mississauga Steelheads,57,28,47,75,1.32,18,8
20,Blake Speers (C/RW),Soo Greyhounds,68,26,48,74,1.09,42,-5
,,,,,,,,,
21,Logan Brown (C),Windsor Spitfires,59,21,53,74,1.25,40,24
22,Taylor Raddysh (RW),Erie Otters,67,24,49,73,1.09,18,19
23,Aaron Berisha (RW),London Knights,66,45,27,72,1.09,35,40
24,Kyle Maksimovich (LW),Erie Otters,68,27,44,71,1.04,22,25
25,Stephen Harper (LW/C/D),totals,68,25,46,71,1.04,42,14
,,Hamilton Bulldogs,37,17,24,41,1.11,23,6
,,Niagara IceDogs,31,8,22,30,0.97,19,8
26,Julius Nättinen (C),Barrie Colts,52,22,49,71,1.37,18,32
27,Dylan Sadowy (LW/RW),totals,64,45,25,70,1.09,65,17
,,Saginaw Spirit,36,20,14,34,0.94,31,1
,,Barrie Colts,28,25,11,36,1.29,34,16
28,Mathew Santos (RW),North Bay Battalion,64,29,40,69,1.08,72,29
29,Gabe Guertler (C),Soo Greyhounds,68,26,42,68,1,102,11
30,J.J. Piccinich (RW),London Knights,66,30,36,66,1,19,23
,,,,,,,,,
31,Zach Senyshyn (RW),Soo Greyhounds,66,45,20,65,0.98,20,5
32,Greg Betzold (LW/C),Peterborough Petes,65,43,22,65,1,49,-2
33,Will Bitten (RW/C),Flint Firebirds,67,30,35,65,0.97,32,-29
34,Justin Scott (C/W),Barrie Colts,67,28,37,65,0.97,60,32
35,Pavel Zacha (C/W),Sarnia Sting,51,28,36,64,1.25,97,17
36,Jeremy Bracco (RW),Kitchener Rangers,49,21,43,64,1.31,19,15
37,Brendan Lemieux (LW),totals,45,32,30,62,1.38,65,19
,,Barrie Colts,11,9,5,14,1.27,28,-1
,,Windsor Spitfires,34,23,25,48,1.41,37,20
38,Lawson Crouse (LW),Kingston Frontenacs,49,23,39,62,1.27,56,13
39,Michael McLeod (C),Mississauga Steelheads,57,21,40,61,1.07,71,10
40,Rasmus Andersson (D),Barrie Colts,64,9,51,60,0.94,60,34
,,,,,,,,,
41,Jordan Maletta (C),Niagara IceDogs,68,34,25,59,0.87,55,10
42,Anthony Cirelli (C),Oshawa Generals,62,21,38,59,0.95,27,-15
43,Nathan Bastian (RW),Mississauga Steelheads,64,19,40,59,0.92,50,-3
44,Cam Dineen (D),North Bay Battalion,68,13,46,59,0.87,18,18
45,Matt Mistele (LW/RW),totals,61,33,25,58,0.95,45,-6
,,Oshawa Generals,19,8,8,16,0.84,16,-10
,,Sarnia Sting,42,25,17,42,1,29,4
46,Kenny Huether (RW),Oshawa Generals,64,26,32,58,0.91,13,-8
47,Matt Luff (RW),Hamilton Bulldogs,61,27,30,57,0.93,43,-6
48,Mikhail Sergachyov (D),Windsor Spitfires,67,17,40,57,0.85,56,15
49,Jeremiah Addison (LW/RW),Ottawa 67's,66,27,29,56,0.85,74,-3
50,Juho Lammikko (C/LW),Kingston Frontenacs,59,22,33,55,0.93,51,24
,,,,,,,,,
51,Artyom Artyomov (RW),Saginaw Spirit,67,19,36,55,0.82,55,-15
52,Aaron Luchuk (C),Windsor Spitfires,68,27,26,53,0.78,19,9
53,Brett McKenzie (C/LW),North Bay Battalion,66,26,27,53,0.8,43,1
54,Mikkel Aagaard (C/W),totals,64,24,29,53,0.83,60,-13
,,Niagara IceDogs,20,3,11,14,0.7,10,2
,,Sudbury Wolves,44,21,18,39,0.89,50,-15
55,Dmitri Sokolov (RW/LW),Sudbury Wolves,68,30,22,52,0.76,13,-40
56,Max Jones (LW),London Knights,63,28,24,52,0.83,106,30
57,James McEwan (C),Guelph Storm,68,25,27,52,0.76,32,-21
58,Artur Tyanulin (RW),Ottawa 67's,67,20,32,52,0.78,32,4
59,Gustaf Franzén (C/RW),Kitchener Rangers,66,17,35,52,0.79,22,11
60,Boris Katchouk (LW),Soo Greyhounds,63,24,27,51,0.81,61,7
,,,,,,,,,
61,Mason Marchment (LW),totals,61,20,31,51,0.84,52,-13
,,Hamilton Bulldogs,34,10,23,33,0.97,30,-7
,,Mississauga Steelheads,27,10,8,18,0.67,22,-6
62,Jordan Kyrou (C/RW),Sarnia Sting,65,17,34,51,0.78,14,13
63,Trent Fox (LW),Hamilton Bulldogs,67,28,22,50,0.75,68,-20
64,Nathan Todd (C),Ottawa 67's,53,17,33,50,0.94,16,5
65,Bryson Cianfrone (C),Owen Sound Attack,58,17,33,50,0.86,40,10
66,Alan Lyszczarczyk (C/W),Sudbury Wolves,67,17,33,50,0.75,36,-25
67,Bradley Latour (C/LW),Windsor Spitfires,65,24,25,49,0.75,30,6
68,Petrus Palmu (RW/LW),Owen Sound Attack,52,23,26,49,0.94,30,-12
69,Jonathan Ang (C),Peterborough Petes,68,21,28,49,0.72,44,-5
70,Jakob Chychrun (D),Sarnia Sting,62,11,38,49,0.79,51,23
,,,,,,,,,
71,Ryan Moore (C/RW),Flint Firebirds,68,25,23,48,0.71,54,-23
72,Steven Lorentz (C/LW),Peterborough Petes,58,23,25,48,0.83,27,10
73,Bobby MacIntyre (LW),Soo Greyhounds,62,20,28,48,0.77,41,2
74,Warren Foegele (LW/RW),Kingston Frontenacs,52,13,35,48,0.92,44,32
75,Niki Petti (C/LW),Hamilton Bulldogs,60,22,25,47,0.78,27,-4
76,Michael Cramarossa (C),Hamilton Bulldogs,62,15,32,47,0.76,47,-25
77,Nick Betz (RW),Erie Otters,68,19,27,46,0.68,52,25
78,Mason Kohn (C/LW),Kitchener Rangers,60,16,30,46,0.77,59,25
79,Miles Liberati (D),totals,66,15,31,46,0.7,38,6
,,North Bay Battalion,24,8,8,16,0.67,6,-1
,,Kitchener Rangers,42,7,23,30,0.71,32,7
80,Stephen Desrocher (D),totals,69,11,35,46,0.67,39,29
,,Oshawa Generals,17,5,6,11,0.65,6,-2
,,Kingston Frontenacs,52,6,29,35,0.67,33,31
,,,,,,,,,
81,Gustav Bouramman (D),Soo Greyhounds,68,6,40,46,0.68,43,-5
82,Brendan Perlini (LW/RW),Niagara IceDogs,57,25,20,45,0.79,28,-6
83,Jake Marchment (C),Erie Otters,60,25,20,45,0.75,60,14
84,Connor Brown (LW),Saginaw Spirit,68,24,21,45,0.66,99,-35
85,Joshua Burnside (D),Mississauga Steelheads,55,13,32,45,0.82,28,-4
86,Anthony DiFruscia (LW),Niagara IceDogs,67,26,18,44,0.66,96,-13
87,Anthony Stefano (C),totals,60,21,23,44,0.73,22,16
,,Windsor Spitfires,20,5,8,13,0.65,8,1
,,Barrie Colts,40,16,15,31,0.78,14,15
88,Cordell James (C),Barrie Colts,66,19,25,44,0.67,44,17
89,Michael Webster (D),Barrie Colts,64,9,35,44,0.69,57,31
90,Sam Studnicka (C),totals,60,24,19,43,0.72,63,6
,,Ottawa 67's,31,16,10,26,0.84,31,2
,,Sarnia Sting,29,8,9,17,0.59,32,4
,,,,,,,,,
91,Jack Kopacka (LW),Soo Greyhounds,67,20,23,43,0.64,12,-5
92,Ethan Szypula (C),Owen Sound Attack,65,18,25,43,0.66,54,-15
93,Vince Dunn (D),Niagara IceDogs,52,12,31,43,0.83,52,8
94,Vili Saarijärvi (D),Flint Firebirds,59,12,31,43,0.73,32,-15
95,Kyle Capobianco (D),Sudbury Wolves,68,7,36,43,0.63,58,-43
96,Travis Dermott (D),Erie Otters,51,6,37,43,0.84,65,36
97,Nikita Korostelev (RW/LW),Sarnia Sting,53,23,19,42,0.79,15,13
98,Givani Smith (RW/LW),Guelph Storm,65,23,19,42,0.65,146,-27
99,Logan DeNoble (C/LW),Peterborough Petes,63,20,22,42,0.67,47,22
100,Domenico Commisso (C),Oshawa Generals,66,18,24,42,0.64,32,-9
101,Cristiano DiGiacinto (LW),Windsor Spitfires,63,16,26,42,0.67,107,15
102,Graham Knott (LW/C),Niagara IceDogs,68,12,30,42,0.62,67,-11
103,Olli Juolevi (D),London Knights,57,9,33,42,0.74,16,38
104,Josh Sterk (C),Owen Sound Attack,64,9,33,42,0.66,22,-5
105,Roland McKeown (D),Kingston Frontenacs,59,7,35,42,0.71,49,21
106,Johnny Corneil (C),Niagara IceDogs,68,20,21,41,0.6,36,19
107,Connor Chatham (RW),totals,64,17,24,41,0.64,90,-12
,,Flint Firebirds,34,11,18,29,0.85,42,-3
,,Windsor Spitfires,30,6,6,12,0.4,48,-9
108,Matthew Kreis (C),Saginaw Spirit,65,17,24,41,0.63,20,-7
109,Santino Centorame (D),Owen Sound Attack,67,14,27,41,0.61,58,5
110,Patrick Murphy (D/F),Sudbury Wolves,68,13,27,40,0.59,50,-30
,,,,,,,,,
111,Steven Harland (RW),North Bay Battalion,53,12,28,40,0.75,7,5
112,Garrett McFadden (D),Guelph Storm,68,11,29,40,0.59,48,-41
113,Dominik Masin (D),Peterborough Petes,57,8,32,40,0.7,50,24
114,Darren Raddysh (D),Erie Otters,66,8,32,40,0.61,80,27
115,Kris Bennett (C/LW),Saginaw Spirit,58,24,15,39,0.67,37,-12
116,Joe Manchurek (LW),Oshawa Generals,66,19,20,39,0.59,20,7
117,Roy Radke (RW),Barrie Colts,66,19,20,39,0.59,43,3
118,Tim Gettinger (LW),Soo Greyhounds,60,17,22,39,0.65,32,-4
119,Ivan Lodnia (RW),Erie Otters,62,16,23,39,0.63,14,8
120,Kyle Wood (D),North Bay Battalion,49,8,31,39,0.8,18,12
,,,,,,,,,
121,Darby Llewellyn (LW/RW),Kitchener Rangers,68,22,16,38,0.56,55,2
122,Mitchell Stephens (C),Saginaw Spirit,39,20,18,38,0.97,14,-3
123,Nick Suzuki (C),Owen Sound Attack,63,20,18,38,0.6,4,-15
124,Tye Felhaber (LW/C),Saginaw Spirit,64,18,20,38,0.59,16,-32
125,Gabriel Vilardi (C),Windsor Spitfires,62,17,21,38,0.61,14,-7
126,Matthew Strome (LW),Hamilton Bulldogs,61,16,22,38,0.62,29,-8
