Draft Position,Team,Player,Seasons,GP,G,A,PTS,PIMS,League
#109,Philadelphia Flyers,Connor Bunnaman (F),4,265,90,65,155,93,OHL
#137,Detroit Red Wings,Jordan Sambrook (D),4,262,51,104,155,240,OHL
#191,Colorado Avalanche,Travis Barron (F),4,250,59,90,149,201,OHL
#68,Arizona Coyotes,Cam Dineen (D),3,162,39,98,137,36,OHL
#41,New Jersey Devils,Nathan Bastian (F),4,209,54,82,136,121,OHL
#46,Detroit Red Wings,Givani Smith (F),4,236,73,62,135,411,OHL
#85,Anaheim Ducks,Josh Mahura (D),4,186,41,90,131,119,WHL
#145,Washington Capitals,Beck Malenstyn (F),5,238,65,63,128,164,WHL
#79,Winnipeg Jets,Luke Green (D),4,195,26,97,123,124,QMJHL
#133,Ottawa Senators,Max Lajoie (D),4,203,22,97,119,76,WHL
#150,San Jose Sharks,Manuel Wiederer (F),2,114,58,59,117,70,QMJHL
#171,New York Rangers,Gabriel Fontaine (F),4,194,47,70,117,118,QMJHL
#185,Columbus Blue Jackets,Calvin Thürkauf (F),2,121,51,64,115,141,WHL
#140,Vancouver Canucks,Cole Candella (D),5,298,19,94,113,128,OHL
#122,Toronto Maple Leafs,Vladimir Bobylyov (F),3,162,40,72,112,152,WHL
#24,Anaheim Ducks,Max Jones (F),3,127,64,48,112,207,OHL
#160,Montréal Canadiens,Michael Pezzetta (F),4,241,48,63,111,321,OHL
#179,Toronto Maple Leafs,Nicolas Mattinen (D),4,237,32,77,109,191,OHL
#6,Calgary Flames,Matthew Tkachuk (F),1,57,30,77,107,80,OHL
#100,Montréal Canadiens,Victor Mete (D),3,176,30,75,105,46,OHL
#9,Montréal Canadiens,Mikhail Sergachyov (D),2,117,27,73,100,127,OHL
#28,Washington Capitals,Lucas Johansen (D),3,202,17,81,98,75,WHL
#190,Buffalo Sabres,Vasili Glotov (F),2,128,44,49,93,38,QMJHL
#164,Carolina Hurricanes,Noah Carroll (D),4,256,17,75,92,206,OHL
#37,Tampa Bay Lightning,Libor Hájek (D),3,192,19,72,91,187,WHL
#114,Florida Panthers,Riley Stillman (D),4,195,22,66,88,230,OHL
#5,Vancouver Canucks,Olli Juolevi (D),2,115,19,65,84,52,OHL
#130,Buffalo Sabres,Vojtech Budik (D),3,189,18,65,83,73,WHL
#16,Arizona Coyotes,Jakob Chychrun (D),2,104,27,55,82,88,OHL
#18,Winnipeg Jets,Logan Stanley (D),4,219,24,56,80,336,OHL
#8,Buffalo Sabres,Alexander Nylander (F),1,57,28,47,75,18,OHL
#19,New York Islanders,Kieffer Bellows (F),1,56,41,33,74,63,WHL
#89,Florida Panthers,Linus Nässén (D),2,106,8,64,72,32,WHL
#20,Detroit Red Wings,Dennis Cholowski (D),1,69,14,52,66,32,WHL
#22,Philadelphia Flyers,German Rubtsov (F),2,65,24,41,65,15,QMJHL
#202,Los Angeles Kings,Jacob Friend (D),4,166,9,54,63,266,OHL
#43,Carolina Hurricanes,Janne Kuokkanen (F),1,60,26,36,62,14,OHL
#53,Detroit Red Wings,Filip Hronek (D),1,59,14,47,61,60,OHL
#203,Chicago Blackhawks,Jake Ryczek (D),2,84,16,44,60,29,QMJHL
#101,Toronto Maple Leafs,Keaton Middleton (D),4,255,11,47,58,217,OHL
#112,Los Angeles Kings,Jacob Moverare (D),2,95,5,48,53,28,OHL
#189,Buffalo Sabres,Austin Osmanski (D),4,253,8,45,53,280,OHL
#184,Vancouver Canucks,Rodrigo Abols (F),2,64,20,30,50,49,WHL
#184,Vancouver Canucks,Rodrigo Abols (F),1,52,18,32,50,43,QMJHL
#207,Washington Capitals,Dmitri Zaitsev (D),2,131,8,40,48,83,WHL
#180,San Jose Sharks,Mark Shoemaker (D),4,240,6,38,44,75,OHL
#204,Minnesota Wild,Braydyn Chizen (D),5,237,13,29,42,275,WHL
#63,Edmonton Oilers,Markus Niemeläinen (D),2,124,4,32,36,68,OHL
#71,Colorado Avalanche,Josh Anderson (D),5,206,9,26,35,289,WHL
#186,Calgary Flames,Stepan Falkovsky (D),1,58,9,23,32,35,OHL
#156,Calgary Flames,Eetu Tuulola (F),1,62,18,13,31,34,WHL
#178,Tampa Bay Lightning,Oleg Sosunov (D),1,71,7,19,26,62,WHL
#77,Pittsburgh Penguins,Connor Hall (D),5,115,3,20,23,174,OHL
#211,St. Louis Blues,Filip Helt (F),1,53,4,12,16,16,OHL
