Draft Position,Team,Player,Seasons,GP,G,A,PTS,PIMS,League
#48,Philadelphia Flyers,Carter Hart (G),5,190,-,-,-,-,WHL
#88,Tampa Bay Lightning,Connor Ingram (G),3,158,-,-,-,-,WHL
#54,Calgary Flames,Tyler Parsons (G),3,116,-,-,-,-,OHL
#105,New Jersey Devils,Evan Cormier (G),5,201,-,-,-,-,OHL
#123,Edmonton Oilers,Dylan Wells (G),4,162,-,-,-,-,OHL
#134,Carolina Hurricanes,Jeremy Helvig (G),4,156,-,-,-,-,OHL
#59,St. Louis Blues,Evan Fitzpatrick (G),4,181,-,-,-,-,QMJHL
#30,Anaheim Ducks,Sam Steel (F),5,258,123,215,338,98,WHL
#92,Toronto Maple Leafs,Adam Brooks (F),5,317,119,216,335,146,WHL
#39,Chicago Blackhawks,Alex DeBrincat (F),3,191,167,165,332,150,OHL
#205,Anaheim Ducks,Tyler Soy (F),6,323,151,176,327,128,WHL
#65,Columbus Blue Jackets,Vitali Abramov (F),3,185,129,172,301,179,QMJHL
#38,Florida Panthers,Adam Mascherin (F),4,259,122,174,296,74,OHL
#111,San Jose Sharks,Noah Gregor (F),5,257,129,164,293,156,WHL
#58,Tampa Bay Lightning,Taylor Raddysh (F),4,241,120,172,292,98,OHL
#35,St. Louis Blues,Jordan Kyrou (F),4,250,99,191,290,84,OHL
#166,Calgary Flames,Matthew Phillips (F),4,215,136,145,281,98,WHL
#159,Buffalo Sabres,Brandon Hagel (F),4,259,103,176,279,256,WHL
#27,Tampa Bay Lightning,Brett Howden (F),5,248,109,158,267,202,WHL
#172,Philadelphia Flyers,Anthony Salinitri (F),5,313,128,125,253,167,OHL
#152,Toronto Maple Leafs,Jack Walker (F),5,318,101,147,248,259,WHL
#56,Calgary Flames,Dillon Dubé (F),5,203,101,131,232,154,WHL
#210,San Jose Sharks,Joachim Blichfeld (F),3,187,105,123,228,155,WHL
#194,Vancouver Canucks,Brett McKenzie (F),5,328,101,123,224,215,OHL
#74,Carolina Hurricanes,Hudson Elynuik (F),6,280,84,139,223,269,WHL
#115,Anaheim Ducks,Alex Dostie (F),4,233,86,137,223,58,QMJHL
#196,Minnesota Wild,Dmitri Sokolov (F),3,196,128,92,220,39,OHL
#201,New York Rangers,Ty Ronning (F),5,285,127,91,218,112,WHL
#70,Montréal Canadiens,Will Bitten (F),4,257,88,129,217,122,OHL
#200,New York Islanders,David Quenneville (D),5,250,69,145,214,172,WHL
#69,Buffalo Sabres,Cliff Pu (F),4,232,80,130,210,92,OHL
#21,Carolina Hurricanes,Julien Gauthier (F),4,227,104,106,210,129,QMJHL
#113,Chicago Blackhawks,Nathan Noel (F),4,242,85,123,208,268,QMJHL
#12,New Jersey Devils,Michael McLeod (F),4,215,76,131,207,187,OHL
#11,Ottawa Senators,Logan Brown (F),4,182,74,131,205,103,OHL
#127,Winnipeg Jets,Jordy Stallard (F),4,238,85,118,203,77,WHL
#44,Tampa Bay Lightning,Boris Katchouk (F),4,199,101,101,202,154,OHL
#3,Columbus Blue Jackets,Pierre-Luc Dubois (F),3,164,73,126,199,248,QMJHL
#94,Florida Panthers,Jonathan Ang (F),4,259,83,115,198,224,OHL
#154,Vancouver Canucks,Jakob Stukel (F),5,265,103,94,197,90,WHL
#13,Carolina Hurricanes,Jake Bean (D),4,219,49,147,196,66,WHL
#87,Washington Capitals,Garrett Pilon (F),3,207,69,123,192,92,WHL
#47,Nashville Predators,Samuel Girard (D),3,190,24,168,192,47,QMJHL
#141,New York Rangers,Tim Gettinger (F),4,242,91,96,187,125,OHL
#32,Edmonton Oilers,Tyler Benson (F),5,190,61,123,184,171,WHL
#144,St. Louis Blues,Conner Bleackley (F),5,259,80,103,183,180,WHL
#82,Philadelphia Flyers,Carsen Twarynski (F),4,257,88,94,182,211,WHL
#36,Philadelphia Flyers,Pascal Laberge (F),4,224,62,116,178,194,QMJHL
#78,Nashville Predators,Frédéric Allard (D),4,250,34,143,177,126,QMJHL
#80,New Jersey Devils,Brandon Gignac (F),4,242,61,116,177,107,QMJHL
#206,Tampa Bay Lightning,Otto Somppi (F),3,178,58,112,170,83,QMJHL
#51,Los Angeles Kings,Kale Clague (D),5,195,26,141,167,144,WHL
#146,Dallas Stars,Nicholas Caamano (F),4,259,83,84,167,226,OHL
#119,St. Louis Blues,Tanner Kaspick (F),5,216,59,100,159,192,WHL
#148,Tampa Bay Lightning,Christopher Paquette (F),5,306,76,83,159,100,OHL
#81,New York Rangers,Sean Day (D),5,291,42,116,158,159,OHL
#93,Anaheim Ducks,Jack Kopacka (F),4,202,81,75,156,56,OHL
