,Name,Team,GP,G,A,PTS,PTS/GM,PIMS,PLUS/MINUS
1,Conor Garland (RW/LW),Moncton Wildcats,67,35,94,129,1.93,66,21
2,Danick Martel (LW),Blainville-Boisbriand Armada,64,48,54,102,1.59,85,38
3,Nikita Jevpalovs (LW/RW),Blainville-Boisbriand Armada,64,49,51,100,1.56,30,37
4,Nikolaj Ehlers (LW),Halifax Mooseheads,51,37,63,100,1.96,67,26
5,Angelo Miceli (C/LW),Victoriaville Tigres,64,38,58,96,1.5,50,1
6,Alexis Loiseau (C),Rimouski Océanic,68,35,61,96,1.41,42,48
7,Ivan Barbashyov (C/LW),Moncton Wildcats,57,45,50,95,1.67,59,16
8,Anthony Beauvillier (LW),Shawinigan Cataractes,67,42,52,94,1.4,72,16
9,Anthony DeLuca (LW),Rimouski Océanic,68,44,47,91,1.34,63,32
10,Anthony Richard (C/LW),Val-d'Or Foreurs,66,43,48,91,1.38,78,-9
,,,,,,,,,
11,Timo Meier (LW/RW),Halifax Mooseheads,61,44,46,90,1.48,59,20
12,Dmytro Timashov (LW/RW),Québec Remparts,66,19,71,90,1.36,54,17
13,Kyle Farrell (C),Cape Breton Screaming Eagles,63,42,46,88,1.4,24,6
14,Daniel Sprong (RW/LW),Charlottetown Islanders,68,39,49,88,1.29,18,-23
15,Anthony Beauregard (C),Val-d'Or Foreurs,68,29,58,87,1.28,40,9
16,Adam Erne (LW/RW),Québec Remparts,60,41,45,86,1.43,102,21
17,Max St-Cyr (C),Baie-Comeau Drakkar,68,54,30,84,1.24,30,-12
18,Mathieu Lemay (RW/C),Rouyn-Noranda Huskies,68,44,39,83,1.22,54,0
19,Sammy Blais (LW/RW),Victoriaville Tigres,61,34,48,82,1.34,50,-4
20,Nicolas Aubé-Kubel (RW),Val-d'Or Foreurs,61,38,42,80,1.31,81,13
,,,,,,,,,
21,Maxim Lazarev (LW/RW),Cape Breton Screaming Eagles,65,36,44,80,1.23,24,2
22,Yevgeni Svechnikov (RW/LW),Cape Breton Screaming Eagles,55,32,46,78,1.42,70,19
23,Luca Ciampini (LW),Baie-Comeau Drakkar,68,33,44,77,1.13,88,4
24,Louick Marcotte (RW),Gatineau Olympiques,63,36,40,76,1.21,69,3
25,Christopher Clapperton (LW),Rimouski Océanic,61,35,41,76,1.25,77,33
26,Francis Perron (LW),Rouyn-Noranda Huskies,64,29,47,76,1.19,39,-1
27,Filip Chlapík (C),Charlottetown Islanders,64,33,42,75,1.17,42,-16
28,Laurent Dauphin (C/LW),Chicoutimi Saguenéens,56,31,44,75,1.34,74,0
29,Pierre-Maxime Poudrier (C/LW),Val-d'Or Foreurs,68,29,46,75,1.1,40,2
30,Julien Gauthier (RW),Val-d'Or Foreurs,68,38,35,73,1.07,46,6
,,,,,,,,,
31,Christophe Lalonde (LW),totals,50,35,38,73,1.46,43,14
,,Moncton Wildcats,15,12,13,25,1.67,27,4
,,Shawinigan Cataractes,35,23,25,48,1.37,16,10
32,Daniel Audette (C),Sherbrooke Phoenix,60,29,44,73,1.22,64,-16
33,Philippe Sanche (C),Blainville-Boisbriand Armada,65,36,36,72,1.11,55,23
34,David Storto (C),Sherbrooke Phoenix,60,27,44,71,1.18,38,-11
35,Danny Moynihan (C/LW),Halifax Mooseheads,62,33,37,70,1.13,54,14
36,Ryan Penny (LW),Rouyn-Noranda Huskies,66,32,38,70,1.06,64,5
37,Frédéric Gamelin (C),Baie-Comeau Drakkar,63,12,57,69,1.1,62,10
38,Kay Schweri (LW/RW),Sherbrooke Phoenix,53,12,56,68,1.28,16,10
