,Name,Team,GP,G,A,PTS,PTS/GM,PIMS,PLUS/MINUS
1,Adam Brooks (C),Regina Pats,72,38,82,120,1.67,30,41
2,Dryden Hunt (LW),Moose Jaw Warriors,72,58,58,116,1.61,48,12
3,Brayden Burke (LW/RW),Lethbridge Hurricanes,72,27,82,109,1.51,44,36
4,Jayce Hawryluk (C/RW),Brandon Wheat Kings,58,47,59,106,1.83,101,59
5,Nolan Patrick (C),Brandon Wheat Kings,72,41,61,102,1.42,41,51
6,Parker Bowles (LW/C),Tri-City Americans,72,39,57,96,1.33,63,-14
7,Tyson Baillie (C/RW),Kelowna Rockets,70,43,52,95,1.36,66,25
8,Reid Gardiner (RW),Prince Albert Raiders,71,43,49,92,1.3,46,26
9,Alex Forsberg (LW/C),Victoria Royals,71,31,60,91,1.28,64,22
10,Tyler Wong (RW),Lethbridge Hurricanes,72,43,46,89,1.24,42,17
,,,,,,,,,
11,Brayden Point (C),Moose Jaw Warriors,48,35,53,88,1.83,36,24
12,Mathew Barzal (C),Seattle Thunderbirds,58,27,61,88,1.52,58,22
13,Tyler Soy (C),Victoria Royals,72,46,39,85,1.18,27,34
14,Jack Walker (LW),Victoria Royals,72,36,48,84,1.17,85,30
15,Ivan Nikolishin (C/LW),Red Deer Rebels,72,31,51,82,1.14,20,14
16,Chase Witala (LW/C),Prince George Cougars,71,40,39,79,1.11,81,7
17,Collin Shirley (LW/C),Kamloops Blazers,72,37,42,79,1.1,18,20
18,Brett Pollock (LW/RW),Edmonton Oil Kings,72,30,48,78,1.08,76,21
19,Matthew Phillips (C/RW),Victoria Royals,72,37,39,76,1.06,16,11
20,Jesse Gabrielle (LW/RW),Prince George Cougars,72,40,35,75,1.04,101,4
,,,,,,,,,
21,Adam Helewka (C/LW),totals,53,42,32,74,1.4,57,41
,,Spokane Chiefs,19,16,13,29,1.53,23,16
,,Red Deer Rebels,34,26,19,45,1.32,34,25
22,Giorgio Estephan (C),Lethbridge Hurricanes,59,30,44,74,1.25,12,26
23,Chad Butcher (RW),Medicine Hat Tigers,71,27,47,74,1.04,87,-17
24,Jon Martin (RW/C),totals,70,41,32,73,1.04,80,-5
,,Kootenay Ice,4,3,1,4,1,6,-1
,,Swift Current Broncos,66,38,31,69,1.05,74,-4
25,John Quenneville (C/W),Brandon Wheat Kings,57,31,42,73,1.28,71,28
