,Name,Team,GP,G,A,PTS,PTS/GM,PIMS,PLUS/MINUS
1,Conor Garland (RW/LW),Moncton Wildcats,62,39,89,128,2.06,97,26
2,Francis Perron (LW),Rouyn-Noranda Huskies,62,41,67,108,1.74,38,41
3,Pierre-Luc Dubois (C/LW),Cape Breton Screaming Eagles,62,42,57,99,1.6,112,40
4,Alexis D'Aoust (RW),Shawinigan Cataractes,68,44,54,98,1.44,22,32
5,Vitali Abramov (RW/LW),Gatineau Olympiques,63,38,55,93,1.48,36,36
6,Anthony Beauregard (C),Val-d'Or Foreurs,67,30,63,93,1.39,62,30
7,Nicolas Roy (C/RW),Chicoutimi Saguenéens,63,48,42,90,1.43,71,17
8,Michael Carcone (LW/RW),Drummondville Voltigeurs,66,47,42,89,1.35,80,1
9,Alex Barré-Boulet (C),Drummondville Voltigeurs,65,35,54,89,1.37,42,2
10,Michael Joly (RW),totals,60,47,41,88,1.47,38,29
,,Rimouski Océanic,21,14,11,25,1.19,26,10
,,Cape Breton Screaming Eagles,39,33,30,63,1.62,12,19
,,,,,,,,,
11,Anthony Richard (C/LW),Val-d'Or Foreurs,58,37,50,87,1.5,37,28
12,Timo Meier (LW/RW),totals,52,34,53,87,1.67,46,29
,,Halifax Mooseheads,23,11,25,36,1.57,22,7
,,Rouyn-Noranda Huskies,29,23,28,51,1.76,24,22
13,Guillaume Gauthier (LW),Sherbrooke Phoenix,67,38,48,86,1.28,38,-10
14,Dmytro Timashov (LW/RW),totals,57,22,63,85,1.49,79,27
,,Québec Remparts,29,18,35,53,1.83,51,9
,,Shawinigan Cataractes,28,4,28,32,1.14,28,18
15,Nicolas Aubé-Kubel (RW),Val-d'Or Foreurs,61,38,46,84,1.38,71,38
16,Jean-Christophe Beaudin (C/RW),Rouyn-Noranda Huskies,58,33,49,82,1.41,34,46
17,Sammy Blais (LW/RW),totals,63,33,49,82,1.3,33,-4
,,Victoriaville Tigres,30,17,23,40,1.33,19,-7
,,Charlottetown Islanders,33,16,26,42,1.27,14,3
18,Anthony Beauvillier (LW),Shawinigan Cataractes,47,40,39,79,1.68,57,21
19,Yevgeni Svechnikov (RW/LW),Cape Breton Screaming Eagles,50,32,47,79,1.58,97,26
20,Maxime Fortier (RW),Halifax Mooseheads,68,31,46,77,1.13,22,-23
,,,,,,,,,
21,Gabryel Boudreau (LW),totals,60,34,41,75,1.25,94,7
,,Chicoutimi Saguenéens,37,19,29,48,1.3,46,1
,,Gatineau Olympiques,23,15,12,27,1.17,48,6
22,Maxim Lazarev (LW/RW),Cape Breton Screaming Eagles,52,30,45,75,1.44,10,20
23,Matthew Highmore (C/W),Saint John Sea Dogs,65,22,53,75,1.15,38,25
24,Jonathan Bourcier (C),Chicoutimi Saguenéens,66,30,44,74,1.12,60,14
25,Samuel Girard (D),Shawinigan Cataractes,67,10,64,74,1.1,10,24
26,Mathieu Joseph (RW/LW),Saint John Sea Dogs,58,33,40,73,1.26,57,35
27,Alex Dostie (C/LW),Gatineau Olympiques,54,25,48,73,1.35,10,31
28,Danny Moynihan (C/LW),totals,67,36,34,70,1.04,66,11
,,Halifax Mooseheads,38,24,25,49,1.29,40,3
,,Shawinigan Cataractes,29,12,9,21,0.72,26,8
29,Dennis Yan (LW),Shawinigan Cataractes,62,32,37,69,1.11,86,8
30,Pascal Laberge (C),Victoriaville Tigres,56,23,45,68,1.21,64,-3
,,,,,,,,,
31,Christophe Boivin (LW),Acadie-Bathurst Titan,60,31,36,67,1.12,38,-3
32,Martins Dzierkals (RW/LW),Rouyn-Noranda Huskies,59,24,43,67,1.14,42,23
33,Yan-Pavel Laplante (C/LW),Gatineau Olympiques,63,34,31,65,1.03,88,17
34,Cameron Askew (C/RW),Moncton Wildcats,66,32,33,65,0.98,45,11
35,Manuel Wiederer (RW/C),Moncton Wildcats,54,29,35,64,1.19,41,23
36,Jan Mandat (C/LW),Val-d'Or Foreurs,62,20,44,64,1.03,39,37
37,Antoine Dufort-Plante (C),Rimouski Océanic,61,23,40,63,1.03,36,-1
38,Sam Povorozniouk (C/RW),Saint John Sea Dogs,68,39,23,62,0.91,79,6
39,Giovanni Fiore (LW/RW),totals,65,28,34,62,0.95,36,24
,,Shawinigan Cataractes,39,13,17,30,0.77,28,5
,,Cape Breton Screaming Eagles,26,15,17,32,1.23,8,19
40,Yakov Trenin (C/W),Gatineau Olympiques,57,26,35,61,1.07,56,22
,,,,,,,,,
41,Brandon Gignac (C/LW),Shawinigan Cataractes,67,24,37,61,0.91,41,9
42,Alexandre Goulet (C/LW),totals,63,33,27,60,0.95,28,5
,,Charlottetown Islanders,29,11,8,19,0.66,18,-6
,,Victoriaville Tigres,34,22,19,41,1.21,10,11
43,Matthew Boucher (LW),Québec Remparts,59,30,30,60,1.02,93,-9
44,Bronson Beaton (RW/C),Québec Remparts,68,29,31,60,0.88,52,-3
45,Maxime Comtois (LW),Victoriaville Tigres,62,26,34,60,0.97,68,4
46,Massimo Carozza (C/LW),totals,66,27,32,59,0.89,50,33
,,Québec Remparts,40,17,21,38,0.95,34,17
,,Cape Breton Screaming Eagles,26,10,11,21,0.81,16,16
47,Dylan Montcalm (LW),Rimouski Océanic,67,23,36,59,0.88,34,4
48,Daniel Audette (C),Sherbrooke Phoenix,52,22,37,59,1.13,53,-10
49,Mark Simpson (C/LW),Acadie-Bathurst Titan,66,20,39,59,0.89,49,-4
50,Nikolas Brouillard (D),totals,54,17,42,59,1.09,63,23
,,Québec Remparts,23,12,20,32,1.39,22,7
,,Rouyn-Noranda Huskies,31,5,22,27,0.87,41,16
,,,,,,,,,
51,Frédéric Allard (D),Chicoutimi Saguenéens,64,14,45,59,0.92,34,-7
52,Vladimir Kuznetsov (LW/RW),Acadie-Bathurst Titan,68,25,33,58,0.85,34,-7
