Draft Position,Team,Player,Seasons,GP,G,A,PTS,PIMS,League
#2,Carolina Hurricanes,Andrei Svechnikov (F),1,44,40,32,72,67,OHL
#206,Tampa Bay Lightning,Radim Salda (D),2,110,20,51,71,114,QMJHL
#101,New York Rangers,Nico Gross (D),3,166,16,51,67,187,OHL
#95,Ottawa Senators,Jonathan Gruden (F),1,59,30,36,66,23,OHL
#161,Washington Capitals,Alex Kannok-Leipert (D),4,196,14,51,65,211,WHL
#8,Chicago Blackhawks,Adam Boqvist (D),1,54,20,40,60,12,OHL
#145,Arizona Coyotes,Dennis Busby (D),4,152,8,49,57,67,OHL
#29,Toronto Maple Leafs,Rasmus Sandin (D),1,51,12,33,45,24,OHL
#77,Boston Bruins,Jakub Lauko (F),1,44,21,20,41,43,QMJHL
#115,Vegas Golden Knights,Paul Cotter (F),1,48,9,17,26,25,OHL
#57,Boston Bruins,Axel Andersson (D),1,43,3,21,24,29,QMJHL
