,Name,Team,GP,G,A,PTS,PTS/GM,PIMS,PLUS/MINUS
1,Jayden Halbgewachs (LW/C),Moose Jaw Warriors,72,70,59,129,1.79,12,43
2,Glenn Gawdin (C),Swift Current Broncos,67,56,69,125,1.87,101,61
3,Aleksi Heponiemi (C/RW),Swift Current Broncos,57,28,90,118,2.07,28,42
4,Brayden Burke (LW/RW),Moose Jaw Warriors,61,31,82,113,1.85,45,44
5,Matthew Phillips (C/RW),Victoria Royals,71,48,64,112,1.58,32,20
6,Tyler Steenbergen (C/W),Swift Current Broncos,56,47,55,102,1.82,44,52
7,Cody Glass (C),Portland Winterhawks,64,37,65,102,1.59,26,42
8,Ty Lewis (LW),Brandon Wheat Kings,70,44,56,100,1.43,60,16
9,Patrick Bajkov (RW/LW),Everett Silvertips,72,33,67,100,1.39,56,19
10,Justin Almeida (C),Moose Jaw Warriors,72,43,55,98,1.36,10,42
,,,,,,,,,
11,Kole Lind (RW),Kelowna Rockets,58,39,56,95,1.64,65,24
12,Jordy Bellerive (C),Lethbridge Hurricanes,71,46,46,92,1.3,82,-2
13,Tyler Soy (C),Victoria Royals,66,36,56,92,1.39,42,15
14,Jordy Stallard (C),Prince Albert Raiders,72,44,47,91,1.26,26,10
15,Jaret Anderson-Dolan (C),Spokane Chiefs,70,40,51,91,1.3,27,9
16,Stelio Mattheos (RW/C),Brandon Wheat Kings,68,43,47,90,1.32,81,7
17,Cameron Hebig (C/W),totals,66,41,49,90,1.36,44,13
,,Saskatoon Blades,40,30,28,58,1.45,28,-3
,,Regina Pats,26,11,21,32,1.23,16,16
18,Trey Fix-Wolansky (RW),Edmonton Oil Kings,71,32,57,89,1.25,81,-15
19,Braylon Shmyr (LW),Saskatoon Blades,72,37,51,88,1.22,16,-2
20,Matt Fonteyne (LW),Everett Silvertips,72,35,53,88,1.22,22,27
,,,,,,,,,
21,Skyler McKenzie (LW),Portland Winterhawks,72,47,40,87,1.21,54,38
22,Hudson Elynuik (C),Spokane Chiefs,71,31,55,86,1.21,78,24
23,Giorgio Estephan (C),totals,69,30,56,86,1.25,22,-9
,,Lethbridge Hurricanes,39,18,40,58,1.49,14,-7
,,Swift Current Broncos,30,12,16,28,0.93,8,-2
24,Ty Ronning (RW),Vancouver Giants,70,61,23,84,1.2,47,12
25,Dillon Dubé (C/LW),Kelowna Rockets,53,38,46,84,1.58,52,17
26,Morgan Geekie (C),Tri-City Americans,68,30,54,84,1.24,32,0
27,Sam Steel (C),Regina Pats,54,33,50,83,1.54,18,27
28,Mark Rassell (C),Medicine Hat Tigers,70,50,30,80,1.14,23,0
29,Tanner Jeannot (LW),Moose Jaw Warriors,72,40,40,80,1.11,83,49
30,Jordan Topping (LW),Tri-City Americans,72,38,42,80,1.11,56,-13
,,,,,,,,,
31,Garrett Pilon (C),totals,69,34,46,80,1.16,48,22
,,Kamloops Blazers,39,18,26,44,1.13,34,5
